"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"American U. (Anthropology)",75,80,81,82,64,78,1,4,77,82
"2",1,"Arizona State U. (Anthropology)",23,55,4,18,71,78,54,71,18,49
"3",2,"Binghamton U. (SUNY) (Anthropology)",8,26,4,13,62,77,42,61,17,48
"4",3,"Boston U. (Anthropology &amp; Archaeology)",41,68,33,60,24,55,67,77,40,60
"5",4,"Brandeis U. (Anthropology)",75,82,65,81,74,81,41,64,62,78
"6",5,"Brown U. (Anthropology)",19,39,30,58,26,54,6,18,18,47
"7",6,"Case Western Reserve U. (Anthropology)",47,73,22,53,64,79,10,30,60,76
"8",7,"City U. of New York Graduate Center (Anthropology)",36,60,32,52,54,73,12,31,10,48
"9",8,"Columbia U. (Anthropology)",59,73,64,77,46,70,16,35,11,46
"10",9,"Cornell U. (Anthropology)",28,53,59,77,1,18,8,23,27,52
"11",10,"Duke U. (Anthropology)",1,3,1,2,3,35,59,73,16,49
"12",11,"Duke U. (Cultural Anthropology)",33,55,63,75,13,40,1,5,21,44
"13",12,"Emory U. (Anthropology)",6,20,13,32,6,30,34,53,10,27
"14",13,"Harvard U. (Anthropology)",2,5,3,8,2,18,9,28,1,4
"15",14,"Indiana U. at Bloomington (Anthropology)",28,49,27,47,63,75,22,41,11,37
"16",15,"Johns Hopkins U. (Anthropology)",34,63,56,75,3,34,8,25,37,67
"17",16,"Kent State U. Main Campus (Biomedical Sciences - Biological Anthropology)",68,82,8,64,82,82,81,82,54,74
"18",17,"Michigan State U. (Anthropology)",24,50,42,65,7,41,17,37,44,61
"19",18,"New York U. (Anthropology)",13,31,12,32,29,57,11,29,7,19
"20",19,"Northwestern U. (Anthropology)",4,11,3,13,8,30,23,42,10,35
"21",20,"Ohio State U. Main Campus (Anthropology)",49,71,18,46,60,75,58,73,36,57
"22",21,"Pennsylvania State U. (Anthropology)",1,2,1,2,2,22,75,80,8,19
"23",22,"Princeton U. (Anthropology)",33,64,47,74,4,27,17,36,23,51
"24",23,"Rice U. (Anthropology)",60,75,68,79,6,45,7,23,30,57
"25",24,"Rutgers U. at New Brunswick (Anthropology)",39,63,26,49,69,79,20,40,17,47
"26",25,"Southern Illinois U. at Carbondale (Anthropology)",31,67,38,64,3,56,53,69,64,79
"27",26,"Southern Methodist U. (Anthropology)",54,75,17,53,56,72,76,80,56,74
"28",27,"Stanford U. (Anthropological Sciences)",3,9,3,14,1,43,12,33,13,47
"29",28,"Stanford U. (Cultural and Social Anthropology)",6,22,17,47,3,35,1,4,11,48
"30",29,"State U. of New York at Albany (Anthropology)",61,75,30,54,47,71,47,66,55,73
"31",30,"State U. of New York at Stony Brook (Interdepartmental Doctoral Program in Anthropological Sciences)",6,23,4,16,6,31,43,64,25,51
"32",31,"Syracuse U. Main Campus (Anthropology)",35,62,59,77,26,54,19,38,24,50
"33",32,"Temple U. (Anthropology)",76,81,70,79,75,80,32,51,55,73
"34",33,"Texas A&M U. (Anthropology)",39,71,21,57,18,63,66,76,43,69
"35",34,"Tulane U. (Anthropology)",67,77,51,76,42,68,40,61,47,64
"36",35,"U. at Buffalo (SUNY) (Anthropology)",64,75,60,76,55,73,17,37,43,62
"37",36,"U. of Alaska at Fairbanks (Anthropology)",17,48,8,30,14,65,18,39,68,79
"38",37,"U. of Arizona (Anthropology)",8,23,13,32,35,67,41,59,2,7
"39",38,"U. of California at Berkeley (Anthropology)",7,21,14,35,17,44,15,38,2,7
"40",39,"U. of California at Berkeley and at San Francisco (Medical Anthropology)",4,13,3,15,1,15,33,55,13,54
"41",40,"U. of California at Davis (Anthropology)",7,21,13,27,13,41,54,71,14,41
"42",41,"U. of California at Irvine (Anthropology)",8,26,23,48,9,51,10,28,9,35
"43",42,"U. of California at Los Angeles (Anthropology)",8,21,17,41,25,56,38,59,2,9
"44",43,"U. of California at Riverside (Anthropology)",35,65,41,65,9,41,9,28,47,65
"45",44,"U. of California at San Diego (Anthropology)",32,59,22,49,30,56,62,74,30,54
"46",45,"U. of California at Santa Barbara (Anthropology)",15,36,22,50,12,39,41,59,10,39
"47",46,"U. of California at Santa Cruz (Anthropology)",31,55,39,59,27,53,12,33,19,47
"48",47,"U. of Chicago (Anthropology)",25,46,34,53,35,60,38,56,1,5
"49",48,"U. of Colorado at Boulder (Anthropology)",35,69,10,34,17,53,58,76,71,80
"50",49,"U. of Connecticut (Anthropology Ph.D.)",19,42,27,54,23,55,20,41,39,58
"51",50,"U. of Florida (Anthropology)",34,62,19,47,49,67,24,42,16,47
