"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Arizona State U. (Civil And Environmental Engineering)","17","65","17","82","36","80","15","41","15","54"
"2",1,"Auburn U. (Civil Engineering)","67","121","58","123","36","103","16","42","48","106"
"3",2,"California Institute of Technology (Civil Engineering)","3","16","2","6","92","114","27","75","13","57"
"4",3,"Carnegie Mellon U. (Architecture-Building Performance &amp; Diagnostics)","59","120","36","118","46","101","117","127","54","110"
"5",4,"Carnegie Mellon U. (Civil &amp; Environmental Engineering)","9","40","19","79","13","46","17","51","11","31"
"6",5,"Case Western Reserve U. (Civil Engineering)","87","119","112","130","7","52","36","91","52","106"
"7",6,"City U. of New York Graduate Center (Civil Engineering)","89","124","89","127","44","96","1","1","21","98"
"8",7,"Clarkson U. (Civil And Environmental Engineering)","49","116","28","105","77","112","51","101","57","106"
"9",8,"Clemson U. (Civil Engineering)","83","124","55","121","49","97","59","101","69","115"
"10",9,"Clemson U. (Environmental Engineering and Sciences)","59","110","49","109","92","120","16","48","25","66"
"11",10,"Colorado State U. (Civil And Environmental Engineering)","102","125","45","116","124","127","81","116","18","61"
"12",11,"Columbia U. (Civil Engineering and Engineering Mechanics)","48","102","37","97","55","104","75","112","42","87"
"13",12,"Columbia U. (Earth and Environmental Engineering)","39","94","21","75","93","116","100","122","40","91"
"14",13,"Cornell U. (Civil And Environmental Engineering)","52","108","53","115","40","78","66","104","13","44"
"15",14,"Drexel U. (Civil Engineering)","45","110","36","106","96","124","38","91","41","92"
"16",15,"Drexel U. (Environmental Engineering)","91","121","102","126","24","70","16","44","99","129"
"17",16,"Duke U. (Civil And Environmental Engineering)","24","64","10","49","50","100","52","101","21","60"
"18",17,"Florida International U. (Civil Engineering)","41","103","55","120","70","119","2","2","51","126"
"19",18,"George Washington U. (Civil And Environmental Engineering)","114","127","99","128","100","124","48","95","78","126"
"20",19,"Georgia Institute of Technology (Civil Engineering)","9","37","19","76","15","56","28","66","3","9"
"21",20,"Georgia Institute of Technology (Environmental Engineering)","3","19","3","20","42","86","21","69","10","36"
"22",21,"Illinois Institute of Technology (Civil Engineering)","119","129","69","123","116","124","52","106","82","121"
"23",22,"Illinois Institute of Technology (Environmental Engineering)","108","129","26","94","129","130","41","93","42","118"
"24",23,"Iowa State U. (Civil Engineering)","54","113","57","121","6","38","97","122","40","101"
"25",24,"Johns Hopkins U. (Civil Engineering)","46","95","41","103","14","56","38","87","34","76"
"26",25,"Johns Hopkins U. (Environmental Engineering)","40","86","26","77","23","73","54","104","22","64"
"27",26,"Kansas State U. (Civil Engineering)","25","83","28","100","12","68","78","117","59","111"
"28",27,"Lehigh U. (Civil And Environmental Engineering)","44","105","40","107","105","121","29","73","19","60"
"29",28,"Louisiana State U. at Baton Rouge (Civil Engineering)","43","108","30","107","67","104","128","130","23","88"
"30",29,"Massachusetts Institute of Technology (Civil And Environmental Engineering)","7","39","7","43","34","80","29","71","2","7"
"31",30,"Michigan State U. (Civil And Environmental Engineering)","33","86","45","114","17","58","32","85","29","89"
"32",31,"Michigan Technological U. (Engineering - Environmental)","37","97","31","100","16","68","48","100","96","127"
"33",32,"New Jersey Institute of Technology (Civil Engineering)","40","93","67","122","16","64","19","61","70","115"
"34",33,"New Jersey Institute of Technology (Environmental Engineering)","36","86","68","121","16","62","15","47","77","118"
"35",34,"North Carolina State U. (Civil Engineering)","56","110","42","108","113","124","35","84","9","26"
"36",35,"North Dakota State U. Main Campus (Engineering)","46","100","81","125","2","17","98","122","110","128"
"37",36,"Northeastern U. (Civil &amp; Environmental Engineering)","54","119","39","118","30","103","10","24","71","120"
"38",37,"Northwestern U. (Civil And Environmental Engineering)","6","25","9","38","16","65","24","61","8","18"
"39",38,"Ohio State U. Main Campus (Civil Engineering)","94","124","55","118","121","128","43","99","23","82"
"40",39,"Old Dominion U. (Civil And Environmental Engineering)","126","129","105","129","123","128","38","79","26","112"
"41",40,"Oregon State U. (Civil Engineering)","52","111","54","118","6","48","85","114","71","122"
"42",41,"Pennsylvania State U. (Environmental Engineering)","3","19","4","26","4","34","15","39","33","115"
"43",42,"Pennsylvania State U. (Civil Engineering)","37","98","43","113","39","77","78","111","29","85"
"44",43,"Princeton U. (Civil And Environmental Engineering)","1","2","2","3","3","31","16","39","11","46"
"45",44,"Purdue U. Main Campus (Civil Engineering)","20","66","27","99","90","110","28","66","2","6"
"46",45,"Rensselaer Polytechnic Institute (Civil Engineering)","18","73","15","84","63","109","7","18","17","63"
"47",46,"Rensselaer Polytechnic Institute (Environmental Engineering)","26","92","23","101","46","99","27","73","39","96"
"48",47,"Rice U. (Civil Engineering)","28","84","28","111","5","38","7","22","37","103"
"49",48,"Rice U. (Environmental Engineering)","14","63","9","56","15","81","3","8","37","108"
"50",49,"Rutgers U. at New Brunswick (Civil And Environmental Engineering)","62","121","43","118","37","86","57","108","50","106"
"51",50,"Southern Illinois U. at Carbondale (Civil &amp; Environmental)","50","96","125","130","1","2","50","94","91","126"
"52",51,"Stanford U. (Civil And Environmental Engineering)","4","21","7","37","68","109","23","58","4","14"
"53",52,"Syracuse U. Main Campus (Civil &amp; Environmental Engineering)","76","113","55","101","37","96","14","47","75","119"
"54",53,"Texas A&M U. (Civil Engineering)","17","58","24","96","23","62","26","70","6","11"
"55",54,"Texas Tech U. (Civil Engineering)","63","114","102","129","2","25","85","115","105","128"
"56",55,"Tufts U. (Civil And Environmental Engineering)","11","37","22","66","19","95","48","100","66","120"
"57",56,"U. at Buffalo (SUNY) (Civil Engineering)","35","88","28","99","101","117","67","116","14","49"
"58",57,"U. of Akron (Civil Engineering)","50","109","47","113","72","116","100","124","26","79"
"59",58,"U. of Alabama (Civil And Environmental Engineering)","23","95","19","103","48","85","43","94","114","129"
"60",59,"U. of Alabama at Birmingham and at Huntsville (Civil Engineering (a joint program))","64","116","53","122","16","63","26","63","113","128"
"61",60,"U. of Arizona (Civil Engineering)","32","87","27","100","37","85","15","49","40","90"
"62",61,"U. of Arizona (Engineering Mechanics)","59","117","23","83","107","123","129","130","66","128"
"63",62,"U. of Arkansas Main Campus (Civil Engineering)","71","117","94","128","2","11","27","78","106","127"
"64",63,"U. of California at Berkeley (Civil And Environmental Engineering)","3","16","7","45","14","59","36","79","1","3"
"65",64,"U. of California at Davis (Civil &amp; Environmental Engineering (Civil Engineering))","6","37","10","60","49","93","55","102","11","23"
"66",65,"U. of California at Davis (Transportation Technology &amp; Policy)","32","95","29","108","8","52","54","98","73","126"
"67",66,"U. of California at Irvine (Civil Engineering)","10","44","4","24","95","114","25","66","16","50"
"68",67,"U. of California at Los Angeles (Civil Engineering)","14","60","9","63","108","121","33","75","10","34"
"69",68,"U. of California at San Diego (Structural Engineering)","4","31","4","28","61","103","122","127","16","68"
"70",69,"U. of Central Florida (Civil Engineering)","89","123","66","125","30","86","38","84","36","86"
"71",70,"U. of Central Florida (Environmental Engineering)","12","72","7","71","4","25","98","123","49","101"
"72",71,"U. of Cincinnati Main Campus (Civil Engineering)","21","75","11","67","15","80","91","118","78","121"
"73",72,"U. of Cincinnati Main Campus (Environmental Engineering)","3","19","3","19","4","29","27","76","17","53"
"74",73,"U. of Colorado at Boulder (Civil Engineering)","17","54","17","78","29","69","78","110","7","16"
"75",74,"U. of Colorado at Denver and Health Sciences Center (Civil Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"76",75,"U. of Connecticut (Civil Engineering Ph.D.)","65","120","42","116","9","62","92","121","68","121"
"77",76,"U. of Connecticut (Environmental Engineering Ph.D.)","30","91","26","99","38","93","7","20","35","81"
"78",77,"U. of Delaware (Civil Engineering)","12","52","6","43","69","105","43","94","31","76"
"79",78,"U. of Florida (Civil Engineering)","60","114","66","123","53","99","51","99","20","46"
"80",79,"U. of Florida (Coastal and Oceanographic Engineering)","33","99","29","110","13","75","116","126","36","90"
"81",80,"U. of Florida (Environmental Engineering Sciences)","14","64","7","54","75","109","20","54","22","62"
"82",81,"U. of Hawaii-Manoa (Civil &amp; Environmental Engineering)","89","124","52","118","20","92","70","118","79","122"
"83",82,"U. of Houston main campus (Civil Engineering)","33","96","18","81","80","113","20","63","47","103"
"84",83,"U. of Illinois at Chicago (Civil Engineering)","58","117","23","97","67","106","51","104","69","120"
"85",84,"U. of Illinois at Urbana-Champaign (Civil Engineering)","10","48","14","74","89","116","51","101","2","7"
"86",85,"U. of Illinois at Urbana-Champaign (Environmental Engineering and Science)","9","46","4","24","126","129","19","54","20","84"
"87",86,"U. of Iowa (Civil And Environmental Engineering)","31","79","24","87","7","39","82","118","23","58"
"88",87,"U. of Kansas (Civil And Environmental Engineering)","58","114","55","122","10","47","38","92","43","93"
"89",88,"U. of Kentucky (Civil Engineering)","52","104","71","121","5","49","76","116","58","115"
"90",89,"U. of Louisville (Civil Engineering)","63","111","99","128","2","13","119","127","126","130"
"91",90,"U. of Maryland at College Park (Civil Engineering)","33","87","27","96","63","100","15","36","14","40"
"92",91,"U. of Massachusetts at Amherst (Civil Engineering)","37","96","44","119","12","59","14","37","57","104"
