"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Arizona State U. (Biology)",42,70,37,78,25,69,58,80,16,43
"2",1,"Arizona State U. (Plant Biology)",72,92,30,80,93,94,22,54,37,83
"3",2,"Binghamton U. (SUNY) (Ecology, Evolution &amp; Behavior)",62,89,50,86,12,74,83,91,44,69
"4",3,"Brown U. (BIOMED: Ecological and Evolutionary Biology)",20,59,26,70,4,35,14,40,33,57
"5",4,"Colorado State U. (Ecology)",7,41,4,29,30,73,38,69,13,44
"6",5,"Columbia U. (Ecology and Evolutionary Biology)",9,48,29,83,23,74,1,3,65,88
"7",6,"Cornell U. (Ecology and Evolutionary Biology)",22,62,13,53,49,80,33,65,15,48
"8",7,"Dartmouth College (Biology-EEB)",8,40,10,48,2,39,29,62,13,43
"9",8,"Drexel U. (Environmental Science)",32,68,71,93,7,62,7,23,8,37
"10",9,"Duke U. (Ecology)",3,10,2,10,3,48,83,90,1,4
"11",10,"Emory U. (Population Biology, Ecology and Evolution (PBEE))",11,51,9,45,17,74,32,67,26,56
"12",11,"Florida State U. (Ecology and Evolutionary Biology)",56,85,17,68,62,87,85,91,59,78
"13",12,"George Washington U. (Biological Sciences)",68,91,56,91,75,91,1,6,76,91
"14",13,"Harvard U. (Organismic and Evolutionary Biology)",2,8,2,11,5,41,26,55,3,14
"15",14,"Indiana U. at Bloomington (Ecology and Evolutionary Biology)",3,14,2,17,12,54,7,25,3,14
"16",15,"Iowa State U. (Ecology &amp; Evolutionary Biology)",58,86,37,83,44,80,15,44,40,62
"17",16,"Kent State U. Main Campus (Biological Sciences - Ecology)",88,94,74,94,78,92,33,71,39,67
"18",17,"Michigan State U. (Ecology, Evolutionary Biology &amp; Behavior)",12,50,16,60,8,47,45,74,4,21
"19",18,"Michigan State U. (Fisheries and Wildlife)",32,69,40,86,21,59,25,54,44,68
"20",19,"Michigan State U. (Zoology)",21,57,49,84,8,52,24,59,15,43
"21",20,"Mississippi State U. (Wildlife and Fisheries (degree: Ph.D. in Forest Resources))",48,87,41,87,1,10,87,93,60,90
