"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"American U. (Economics)","104","112","87","104","114","117","36","74","70","105"
"2",1,"Arizona State U. (Economics)","12","22","13","29","6","31","7","37","25","43"
"3",2,"Auburn U. (Applied Economics)","25","44","23","43","4","22","23","64","51","82"
"4",3,"Binghamton U. (SUNY) (Economics)","71","92","67","93","69","101","27","72","64","94"
"5",4,"Boston College (Economics)","35","54","42","60","25","56","13","56","30","49"
"6",5,"Boston U. (Economics)","27","38","21","31","97","109","2","21","16","59"
"7",6,"Brandeis U. (International Economics and Finance)","35","53","28","37","79","102","4","33","19","50"
"8",7,"Brown U. (Economics)","11","18","11","19","23","56","6","40","14","24"
"9",8,"California Institute of Technology (Social Science)","4","9","4","10","1","6","94","108","11","21"
"10",9,"Carnegie Mellon U. (Tepper School of Business-Economics)","26","37","37","53","7","42","61","96","25","49"
"11",10,"City U. of New York Graduate Center (Economics)","76","92","61","82","101","111","9","45","29","55"
"12",11,"Claremont Graduate U. (Economics)","94","108","63","91","101","113","10","46","73","104"
"13",12,"Clark U. (Economics)","90","104","68","93","63","100","11","52","62","99"
"14",13,"Columbia U. (Economics)","12","21","13","26","71","102","6","35","8","19"
"15",14,"Cornell U. (Economics)","20","28","18","32","19","50","38","77","20","31"
"16",15,"Drexel U. (Business Administration)","78","95","101","112","3","27","19","66","58","97"
"17",16,"Duke U. (Economics)","19","28","14","29","38","81","37","80","10","24"
"18",17,"Emory U. (Economics)","55","81","62","89","22","53","38","78","75","101"
"19",18,"Florida International U. (Economics)","87","103","85","107","22","54","1","13","74","104"
"20",19,"Florida State U. (Economics)","49","73","58","82","10","38","108","114","57","80"
"21",20,"Fordham U. (Economics)","111","115","108","115","100","113","39","73","97","112"
"22",21,"George Washington U. (Economics)","99","111","66","93","114","117","24","61","59","91"
"23",22,"Georgetown U. (Economics)","45","72","41","66","57","94","14","58","33","53"
"24",23,"Georgia State U. (Economics)","37","63","32","53","33","73","13","53","60","87"
"25",24,"Harvard U. (Business Economics)","5","8","6","10","3","19","110","115","3","12"
"26",25,"Harvard U. (Economics)","1","1","1","1","2","12","82","103","1","1"
"27",26,"Harvard U. (Political Economy &amp; Gov.)","5","9","5","11","4","28","87","106","28","60"
"28",27,"Howard U. (Economics)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"29",28,"Indiana U. at Bloomington (Economics)","57","75","77","90","26","69","18","64","29","58"
"30",29,"Iowa State U. (Economics)","22","30","18","30","34","73","11","60","28","54"
"31",30,"Johns Hopkins U. (Economics)","30","63","24","48","80","103","59","98","26","49"
"32",31,"Kansas State U. (Economics)","84","100","76","95","26","59","88","106","69","106"
"33",32,"Lehigh U. (Economics)","77","95","109","116","2","22","95","110","69","100"
"34",33,"Louisiana State U. at Baton Rouge (Economics)","78","94","82","100","21","55","36","88","81","106"
"35",34,"Massachusetts Institute of Technology (Economics)","2","3","2","3","2","14","64","94","2","5"
"36",35,"Michigan State U. (Economics)","53","74","49","70","90","107","18","59","31","53"
"37",36,"New York U. (Economics)","9","17","8","16","26","63","6","45","7","17"
"38",37,"North Carolina State U. (Economics)","65","81","51","69","70","101","58","90","39","78"
"39",38,"Northern Illinois U. (Economics)","112","116","116","117","47","85","14","54","91","112"
"40",39,"Northwestern U. (Economics)","10","17","15","25","8","28","59","98","9","17"
"41",40,"Ohio State U. Main Campus (Economics)","38","63","44","67","41","82","22","71","21","32"
"42",41,"Oklahoma State U. Main Campus (Economics)","102","112","100","115","114","117","46","85","45","81"
"43",42,"Oregon State U. (Economics)","39","64","23","36","70","101","74","100","70","104"
"44",43,"Pennsylvania State U. (Economics)","29","48","31","44","51","91","8","50","26","45"
"45",44,"Princeton U. (Economics)","2","4","2","4","3","18","50","91","4","8"
"46",45,"Purdue U. Main Campus (Economics)","29","44","36","49","51","98","12","58","41","65"
"47",46,"Rensselaer Polytechnic Institute (Ecological Economics)","33","68","47","87","12","37","23","61","76","112"
"48",47,"Rice U. (Economics)","90","102","85","103","34","80","22","70","54","89"
"49",48,"Rutgers U. at New Brunswick (Economics)","62","81","55","77","65","99","2","14","62","94"
"50",49,"Southern Illinois U. at Carbondale (Economics)","73","98","72","101","48","97","6","40","81","113"
"51",50,"Southern Methodist U. (Economics)","37","68","35","61","58","90","18","61","52","82"
"52",51,"Stanford U. (Economics)","7","12","9","16","9","36","69","101","5","11"
"53",52,"Stanford U. (Economic Analysis and Policy)","8","17","11","26","1","7","102","111","13","27"
"54",53,"State U. of New York at Albany (Economics)","101","110","100","113","101","113","4","40","81","104"
"55",54,"State U. of New York at Stony Brook (Economics)","30","54","43","74","43","89","2","14","30","72"
"56",55,"Syracuse U. Main Campus (Economics)","27","54","16","39","51","91","53","86","53","86"
"57",56,"Temple U. (Economics)","114","117","114","117","100","112","110","115","73","105"
"58",57,"Texas A&M U. (Economics)","55","75","58","78","50","84","21","63","30","52"
