"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Arizona State U. (English)","5","29","4","13","27","88","11","46","33","82"
"2",1,"Auburn U. (English)","40","81","40","72","1","55","56","97","73","103"
"3",2,"Baylor U. (English)","46","77","34","71","1","10","110","117","36","80"
"4",3,"Binghamton U. (SUNY) (English, General Literature &amp; Rhetoric)","80","101","81","108","75","101","27","71","54","96"
"5",4,"Boston College (English)","15","50","15","40","5","77","109","117","10","94"
"6",5,"Boston U. (English)","75","98","30","59","48","89","117","119","37","93"
"7",6,"Brandeis U. (English and American Literature)","11","41","13","33","5","62","62","100","11","42"
"8",7,"Brown U. (English)","10","34","52","83","3","39","16","52","5","28"
"9",8,"Carnegie Mellon U. (English, Literature, Cultural Theory &amp; Rhetoric)","21","54","6","26","48","94","65","104","54","91"
"10",9,"Case Western Reserve U. (English)","50","83","37","69","39","86","38","81","88","112"
"11",10,"Catholic U. of America (English)","107","117","96","112","82","107","84","110","93","116"
"12",11,"City U. of New York Graduate Center (English)","16","45","6","21","100","110","41","80","3","27"
"13",12,"Claremont Graduate U. (English)","39","78","10","30","111","118","82","108","41","94"
"14",13,"Columbia U. (English and Comparative Literature)","5","23","6","19","65","104","35","73","1","8"
"15",14,"Cornell U. (English Language and Literature)","7","28","46","77","3","31","2","14","5","25"
"16",15,"Duke U. (English)","9","33","17","37","9","76","24","66","13","47"
"17",16,"Emory U. (English)","16","44","36","68","4","44","11","47","23","58"
"18",17,"Florida State U. (English)","15","44","4","18","41","80","22","67","26","69"
"19",18,"Fordham U. (English)","114","119","115","119","112","118","34","79","92","118"
"20",19,"George Washington U. (English)","98","113","91","111","112","119","4","30","63","103"
"21",20,"Georgia State U. (English)","67","97","62","91","96","112","10","47","38","84"
"22",21,"Harvard U. (English &amp; American Lit. &amp; Lang.)","1","2","1","2","5","39","71","101","1","7"
"23",22,"Howard U. (English)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"24",23,"Indiana U. at Bloomington (English)","21","51","19","41","52","96","62","100","17","52"
"25",24,"Johns Hopkins U. (English)","7","36","4","12","11","56","114","118","21","70"
"26",25,"Kent State U. Main Campus (English)","86","106","76","103","48","99","71","105","96","116"
"27",26,"Lehigh U. (English)","104","115","98","113","29","80","102","115","96","116"
"28",27,"Louisiana State U. at Baton Rouge (English)","38","71","39","72","21","80","65","99","47","89"
"29",28,"Loyola U. Chicago (English)","82","103","70","98","65","100","91","110","75","106"
"30",29,"Marquette U. (English)","106","116","29","62","110","115","91","112","100","117"
"31",30,"Miami U. (Ohio) (English)","77","103","89","110","26","91","4","32","80","110"
"32",31,"Michigan State U. (English)","40","71","90","110","58","93","1","8","42","84"
"33",32,"New York U. (English and American Literature)","19","49","9","27","70","98","51","91","6","31"
"34",33,"Northeastern U. (English)","79","106","47","76","53","110","57","100","70","106"
"35",34,"Northern Illinois U. (English)","77","103","52","87","22","90","57","98","87","113"
"36",35,"Northwestern U. (English)","9","33","30","58","16","66","3","20","9","45"
"37",36,"Ohio State U. Main Campus (English)","42","79","73","98","4","70","22","62","21","62"
"38",37,"Ohio U. Main Campus (English)","103","115","117","119","17","62","62","99","95","116"
"39",38,"Oklahoma State U. Main Campus (English)","93","109","88","109","97","111","63","100","69","105"
"40",39,"Pennsylvania State U. (English)","4","19","12","36","1","67","19","56","13","48"
"41",40,"Princeton U. (English)","1","3","1","3","2","39","12","48","1","7"
"42",41,"Purdue U. Main Campus (English)","27","55","31","66","25","67","38","80","15","58"
"43",42,"Rice U. (English)","23","54","54","81","21","93","4","30","41","87"
"44",43,"Rutgers U. at New Brunswick (Literatures in English)","16","44","25","52","39","87","7","36","7","29"
"45",44,"Southern Illinois U. at Carbondale (English)","100","113","109","117","26","83","61","94","90","117"
"46",45,"Stanford U. (English)","2","3","2","4","8","44","8","39","1","9"
"47",46,"State U. of New York at Albany (English)","49","84","28","60","30","80","66","100","58","93"
"48",47,"State U. of New York at Stony Brook (English)","76","99","84","109","53","94","12","50","62","97"
"49",48,"Syracuse U. Main Campus (English)","99","114","79","107","66","104","54","94","95","118"
"50",49,"Temple U. (English)","34","68","34","68","34","84","19","59","30","70"
