"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Baylor College of Medicine (Molecular &amp; Human Genetics)","3","15","4","31","6","31","2","24","4","15"
"2",1,"Brandeis U. (Molecular and Cell Biology)","18","47","7","34","32","57","34","57","6","28"
"3",2,"Case Western Reserve U. (Genetics)","17","47","16","51","28","53","37","58","15","37"
"4",3,"Clemson U. (Genetics)","47","61","44","63","40","61","5","33","53","62"
"5",4,"Columbia U. (Genetics and Development)","2","11","2","14","28","52","6","32","2","10"
"6",5,"Cornell U. (Genetics and Development)","9","39","5","38","36","54","2","19","9","23"
"7",6,"Drexel U. (Molecular and Cell Biology and Genetics)","24","55","27","60","1","25","31","57","33","54"
"8",7,"Duke U. (Genetics)","5","26","6","42","2","20","13","43","8","22"
"9",8,"Emory U. (Genetics and Molecular Biology (GMB))","12","41","10","50","2","20","7","38","10","29"
"10",9,"Howard U. (Genetics)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"11",10,"Indiana U. at Bloomington (Genetics)","26","59","13","53","24","58","32","55","32","53"
"12",11,"Indiana U.-Purdue U. Indianapolis (Medical Genetics)","42","59","37","59","17","52","11","45","46","58"
"13",12,"Iowa State U. (Bioinformatics &amp; Computational Biology)","24","55","23","59","14","48","53","64","34","52"
"14",13,"Iowa State U. (Genetics)","11","43","18","55","18","43","4","29","20","40"
"15",14,"Johns Hopkins U. (Genetics and Molecular Biology)","7","32","5","40","42","61","9","39","2","10"
"16",15,"Massachusetts Institute of Technology (Biology/Genetics and Genomics)","1","3","1","2","27","55","57","65","1","2"
"17",16,"Michigan State U. (Genetics)","24","53","22","56","8","30","25","50","31","52"
"18",17,"New Mexico State U. at Las Cruces (Molecular Biology)","57","64","47","64","61","64","1","1","50","65"
"19",18,"New York U. (Genetics, Genomics and Bioinformatics)","26","58","12","54","44","62","54","64","44","58"
"20",19,"North Carolina State U. (Bioinformatics)","13","44","23","58","23","42","8","34","13","38"
"21",20,"North Carolina State U. (Functional Genomics)","31","57","25","58","35","51","10","39","28","46"
"22",21,"North Carolina State U. (Genetics)","32","58","35","62","8","40","4","32","33","51"
"23",22,"Ohio State U. Main Campus (Molecular Genetics)","10","34","11","50","33","54","2","12","12","30"
"24",23,"Oregon Health and Science U. (Molecular and Medical Genetics)","24","55","15","54","35","59","7","40","32","53"
"25",24,"Oregon State U. (Genetics)","36","60","28","61","5","44","3","30","56","64"
"26",25,"Pennsylvania State U. (Genetics)","8","33","16","53","3","21","3","29","17","42"
"27",26,"Stanford U. (Genetics)","1","6","1","6","6","46","8","40","2","8"
"28",27,"State U. of New York at Stony Brook (Genetics)","12","45","5","40","15","47","7","36","18","39"
"29",28,"Temple U. (Molecular Biology/Genetics)","37","60","10","50","50","63","47","61","36","56"
"30",29,"Texas A&M U. (Genetics)","24","53","34","62","3","20","15","43","30","52"
"31",30,"Thomas Jefferson U. (Genetics)","19","54","5","40","41","59","17","48","27","50"
"32",31,"Tufts U. (Genetics)","8","35","6","44","1","16","7","35","17","36"
"33",32,"U. of Arizona (Genetics)","24","52","38","62","14","48","2","22","19","40"
"34",33,"U. of California at Berkeley (Genetics, Genomics and Development)","1","7","2","11","4","33","44","61","2","6"
"35",34,"U. of California at Davis (Genetics)","28","56","19","56","22","48","16","46","21","40"
"36",35,"U. of California at Los Angeles (Biomathematics)","18","48","14","51","38","59","47","63","23","51"
"37",36,"U. of California at Los Angeles (Genetics and Genomics [ACCESS* Program Specialization])","7","36","5","40","17","42","18","46","10","26"
"38",37,"U. of California at San Francisco (Genetics)","19","53","6","44","53","62","26","52","12","36"
"39",38,"U. of Chicago (Genetics)","9","36","7","44","10","35","8","41","14","31"
"40",39,"U. of Colorado at Denver and Health Sciences Center (Human Medical Genetics)","41","60","31","60","32","58","7","43","43","56"
"41",40,"U. of Connecticut (Genetics Ph.D.)","60","64","54","64","45","61","63","65","56","63"
"42",41,"U. of Connecticut (Microbiology Ph.D.)","56","63","50","64","47","62","11","40","49","61"
"43",42,"U. of Connecticut (Biomed Science: Genetics and Developmental Bio)","26","57","15","58","22","52","19","47","37","57"
"44",43,"U. of Florida (Medical Sciences: Genetics)","14","44","16","52","1","13","45","61","17","39"
"45",44,"U. of Georgia (Genetics)","34","57","42","62","7","34","25","52","33","50"
"46",45,"U. of Iowa (Genetics)","15","48","4","36","24","48","52","64","20","40"
"47",46,"U. of Memphis (Genetics and Genomics)","62","64","64","65","17","41","39","57","60","65"
"48",47,"U. of Michigan at Ann Arbor (Human Genetics)","3","14","4","26","2","31","5","38","4","18"
"49",48,"U. of Missouri at Columbia (Genetics Area Programming)","14","49","10","49","1","16","38","58","34","54"
"50",49,"U. of New Hampshire (Genetics)","65","65","60","64","64","65","30","56","59","65"
"51",50,"U. of North Carolina at Chapel Hill (Genetics and Molecular Biology)","4","19","5","41","4","22","21","47","4","12"
"52",51,"U. of Pennsylvania (Biomed Grad Studies-Genetics and Genomics)","7","34","4","34","19","44","46","62","6","32"
"53",52,"U. of Pittsburgh Main Campus (Human Genetics)","5","28","5","39","8","31","34","56","26","50"
"54",53,"U. of Rochester (Genetics)","22","55","7","48","54","63","57","65","35","56"
"55",54,"U. of Tennessee (Genome Science and Technology)","35","60","34","62","1","24","40","57","60","65"
"56",55,"U. of Texas Health Science Center at Houston and U. of Texas M.D. Anderson Cancer Center (Human and Molecular Genetics)","9","38","3","32","47","62","6","38","7","27"
"57",56,"U. of Texas Southwestern Medical Center at Dallas (Genetics and Development)","5","25","7","42","4","28","5","32","8","27"
"58",57,"U. of Utah (Human Genetics)","45","61","37","60","63","65","22","51","17","43"
"59",58,"U. of Washington (Genome Sciences)","5","27","3","27","42","61","49","62","5","21"
"60",59,"U. of Wisconsin at Madison (Genetics)","16","45","13","45","23","47","11","38","15","32"
"61",60,"Virginia Commonwealth U. (Human Genetics)","36","59","33","60","3","32","2","16","48","62"
"62",61,"Wake Forest U. (Molecular Genetics)","15","52","16","58","1","38","4","33","37","58"
"63",62,"Wake Forest U. (Molecular and Cellular Pathobiology)","19","52","16","56","3","24","2","26","34","55"
"64",63,"Washington U. in St. Louis (Molecular Genetics)","6","29","11","48","6","30","31","51","8","24"
"65",64,"Wayne State U. (Molecular Biology and Genetics)","51","63","31","62","28","53","53","64","56","63"
"66",65,"Yale U. (Genetics)","4","18","6","38","10","35","6","39","3","14"
