"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"American U. (History)","127","136","110","134","107","127","63","104","93","127"
"2",1,"Arizona State U. (History)","14","32","11","31","33","81","5","19","29","56"
"3",2,"Auburn U. (History)","88","118","80","125","96","119","99","122","92","121"
"4",3,"Binghamton U. (SUNY) (History)","26","48","20","40","66","100","8","33","46","84"
"5",4,"Boston College (History)","63","94","85","122","11","57","103","124","40","72"
"6",5,"Boston U. (History)","122","135","63","98","119","133","73","111","92","130"
"7",6,"Bowling Green State U. (History)","58","104","83","125","1","44","42","86","109","134"
"8",7,"Brandeis U. (American History)","7","21","5","17","7","64","20","64","21","42"
"9",8,"Brandeis U. (Comparative History)","61","101","59","93","35","84","71","103","39","88"
"10",9,"Brown U. (History)","14","30","10","27","16","80","50","93","21","41"
"11",10,"Carnegie Mellon U. (History)","24","47","27","54","3","32","33","71","45","82"
"12",11,"Case Western Reserve U. (History)","49","83","50","84","70","108","9","33","84","111"
"13",12,"Catholic U. of America (History)","121","133","88","125","130","136","115","130","91","123"
"14",13,"City U. of New York Graduate Center (History)","52","89","15","35","133","137","24","63","55","96"
"15",14,"Claremont Graduate U. (History)","100","126","91","130","124","134","35","75","95","131"
"16",15,"Clark U. (History)","53","98","68","113","8","97","5","23","50","101"
"17",16,"College of William and Mary (Doctorate in Early Amer. and U.S. History)","72","109","87","123","31","92","80","113","38","79"
"18",17,"Columbia U. (History)","10","24","12","28","72","110","29","68","1","7"
"19",18,"Cornell U. (History)","27","50","51","85","5","47","10","35","18","33"
"20",19,"Duke U. (History)","23","44","25","47","28","90","6","21","16","29"
"21",20,"Emory U. (History)","33","60","38","71","15","58","29","66","33","55"
"22",21,"Florida International U. (History)","71","106","74","120","72","116","3","5","103","135"
"23",22,"Florida State U. (History)","108","127","92","128","73","107","107","123","86","115"
"24",23,"Fordham U. (History)","119","135","84","124","124","136","17","52","108","132"
"25",24,"George Washington U. (History)","92","120","58","102","95","117","70","108","55","90"
