"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Brandeis U. (Near Eastern and Judaic Studies)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"2",1,"Brown U. (Italian Studies)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"3",2,"Brown U. (Slavic Studies)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"4",3,"Bryn Mawr College (Russian)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"5",4,"Columbia U. (East Asian Languages and Cultures)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"6",5,"Columbia U. (Italian)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"7",6,"Columbia U. (Middle East and Asian Languages And Cultures)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"8",7,"Columbia U. (Slavic Languages)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"9",8,"Cornell U. (East Asian Literature)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"10",9,"Cornell U. (Medieval Studies)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"11",10,"Harvard U. (Celtic Language and Literature)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"12",11,"Harvard U. (East Asian Lang. &amp; Civ.)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"13",12,"Harvard U. (Inner Asian &amp; Altaic Studies)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"14",13,"Harvard U. (Middle Eastern Studies)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"15",14,"Harvard U. (Near Eastern Languages and Civilizations)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"16",15,"Harvard U. (Sanskrit and Indian Studies)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"17",16,"Harvard U. (Slavic Languages and Literature)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"18",17,"Indiana U. at Bloomington (Central Eurasian Studies)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"19",18,"Indiana U. at Bloomington (Chinese)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"20",19,"Indiana U. at Bloomington (Italian)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"21",20,"Indiana U. at Bloomington (Japanese)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"22",21,"Indiana U. at Bloomington (Near Eastern Languages &amp; Cultures)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"23",22,"Indiana U. at Bloomington (Slavic Languages &amp; Literature)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"24",23,"Johns Hopkins U. (Italian)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"25",24,"Johns Hopkins U. (Near Eastern Studies)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"26",25,"New York U. (Hebrew and Judaic Studies)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"27",26,"New York U. (Institute for French Studies)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"28",27,"New York U. (Italian Studies)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"29",28,"New York U. (Middle Eastern and Islamic Studies)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
