"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Boston U. (Applied Linguistics)","29","48","10","24","50","52","33","46","21","48"
"2",1,"Carnegie Mellon U. (Modern Languages)","9","22","32","45","1","5","1","1","30","51"
"3",2,"City U. of New York Graduate Center (Linguistics)","38","50","21","34","47","50","11","26","22","42"
"4",3,"Cornell U. (Linguistics)","28","41","40","47","11","29","2","14","7","23"
"5",4,"Georgetown U. (Linguistics)","23","32","24","37","26","39","19","34","30","46"
"6",5,"Harvard U. (Linguistics)","4","19","6","27","3","16","24","42","3","24"
"7",6,"Indiana U. at Bloomington (Linguistics)","5","13","5","13","18","37","34","43","23","42"
"8",7,"Indiana U. at Bloomington (Second Language Studies)","37","51","47","50","36","46","8","24","44","52"
"9",8,"Johns Hopkins U. (Cognitive Science)","1","1","1","1","4","20","43","50","1","19"
"10",9,"Massachusetts Institute of Technology (Linguistics)","9","21","13","23","2","9","25","37","1","17"
"11",10,"Michigan State U. (Linguistics)","21","30","39","48","4","25","2","10","35","50"
"12",11,"New York U. (Linguistics)","14","25","19","32","29","43","22","34","4","28"
"13",12,"Northwestern U. (Linguistics)","4","16","6","22","6","23","49","52","17","44"
"14",13,"Ohio State U. Main Campus (Linguistics)","8","22","19","32","9","27","26","37","5","25"
"15",14,"Purdue U. Main Campus (Linguistics)","6","20","9","20","3","17","4","21","33","47"
"16",15,"Rice U. (Linguistics)","38","51","41","49","12","34","19","34","19","39"
"17",16,"Rutgers U. at New Brunswick (Linguistics)","27","41","28","40","17","33","13","31","4","29"
"18",17,"San Diego State U. and U. of California at San Diego (Language and Communicative Disorders)","4","16","3","10","8","27","11","27","6","29"
"19",18,"Stanford U. (Linguistics)","7","21","7","19","9","34","35","45","2","15"
"20",19,"State U. of New York at Stony Brook (Linguistics)","26","41","18","32","22","39","3","14","17","39"
"21",20,"U. at Buffalo (SUNY) (Linguistics)","39","51","26","41","42","48","14","31","19","41"
"22",21,"U. of Arizona (Linguistics)","11","23","12","22","12","27","30","39","13","34"
"23",22,"U. of California at Berkeley (Linguistics)","5","16","10","23","6","25","43","49","2","20"
"24",23,"U. of California at Los Angeles (Applied Linguistics)","2","2","2","3","2","15","13","30","12","50"
"25",24,"U. of California at Los Angeles (Linguistics)","23","32","29","41","9","24","42","49","2","15"
"26",25,"U. of California at San Diego (Linguistics)","24","38","20","39","23","38","47","51","3","20"
"27",26,"U. of California at Santa Barbara (Linguistics)","30","46","26","41","39","45","37","47","21","40"
"28",27,"U. of California at Santa Cruz (Linguistics)","27","43","38","49","2","15","51","52","7","34"
"29",28,"U. of Chicago (Linguistics)","15","27","4","14","45","50","35","44","1","14"
"30",29,"U. of Colorado at Boulder (Linguistics)","13","29","4","19","29","40","34","45","18","43"
"31",30,"U. of Connecticut (Linguistics Ph.D.)","36","49","35","46","18","33","6","25","9","31"
"32",31,"U. of Delaware (Linguistics)","8","22","10","24","18","33","3","19","9","37"
"33",32,"U. of Florida (Linguistics)","42","51","47","50","24","42","2","14","41","51"
"34",33,"U. of Georgia (Linguistics)","35","47","41","47","8","25","40","48","47","52"
"35",34,"U. of Hawaii-Manoa (Linguistics)","49","52","50","51","46","51","9","26","16","41"
"36",35,"U. of Hawaii-Manoa (Second Language Acquisition)","45","52","35","46","9","33","8","25","33","50"
"37",36,"U. of Illinois at Urbana-Champaign (Linguistics)","9","22","5","14","39","46","5","18","22","43"
"38",37,"U. of Iowa (Second Language Acquisition)","39","52","47","50","3","42","2","15","30","49"
"39",38,"U. of Kansas (Linguistics)","13","29","23","42","15","43","2","13","19","39"
"40",39,"U. of Louisiana at Lafayette (Applied Language and Speech Sciences)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"41",40,"U. of Maryland at College Park (Linguistics)","3","6","2","10","2","14","19","33","2","26"
"42",41,"U. of Massachusetts at Amherst (Linguistics)","3","5","4","12","3","15","8","22","6","27"
"43",42,"U. of Michigan at Ann Arbor (Linguistics)","11","23","14","23","6","26","43","50","11","32"
"44",43,"U. of Minnesota-Twin Cities (Linguistics)","29","42","31","41","32","44","26","37","38","50"
"45",44,"U. of New Mexico Main Campus (Linguistics)","35","49","23","37","49","52","32","43","6","33"
"46",45,"U. of Oregon (Linguistics)","26","42","24","39","22","46","9","25","28","44"
"47",46,"U. of Pennsylvania (Linguistics)","6","19","4","12","15","33","32","42","2","18"
"48",47,"U. of South Florida (Second Language Acquisition/ Instructional Technology)","24","40","51","52","1","8","12","28","47","52"
"49",48,"U. of Southern California (Linguistics)","10","23","5","16","26","40","2","9","14","40"
"50",49,"U. of Texas at Austin (Linguistics)","28","44","22","37","47","51","18","33","2","17"
"51",50,"U. of Washington (Linguistics)","28","45","28","40","30","46","40","49","19","46"
"52",51,"U. of Wisconsin at Madison (Linguistics)","27","47","17","33","37","47","15","29","10","45"
"53",52,"Yale U. (Linguistics)","33","49","29","44","28","42","10","27","15","40"
