"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Baylor College of Medicine (Neuroscience)",22,58,32,79,7,47,58,85,24,42
"2",1,"Boston U. (Neuroscience &amp; Neurobiology, School of Medicine)",46,85,20,80,76,93,10,38,45,71
"3",2,"Boston U. (Neuroscience, Graduate School of Arts and Sciences)",18,56,29,78,17,60,76,88,18,37
"4",3,"Brandeis U. (Neuroscience)",2,15,2,22,10,57,4,18,9,28
"5",4,"Brown U. (Neuroscience)",16,58,14,62,12,68,58,85,15,30
"6",5,"California Institute of Technology (Computation and Neural Systems)",5,27,2,18,27,85,90,94,8,19
"7",6,"Case Western Reserve U. (Neuroscience)",11,47,10,57,16,66,3,12,22,43
"8",7,"Colorado State U. (Biomedical Sciences/ Neurosciences)",52,85,37,85,13,67,22,75,51,77
"9",8,"Columbia U. (Neurobiology and Behavior)",5,25,2,24,56,93,38,75,4,13
"10",9,"Cornell U. (Neurobiology and Behavior)",26,66,21,71,45,84,25,59,16,30
"11",10,"Cornell U. (Weill Grad School of Medical Sci - Neuroscience)",19,61,13,59,4,42,23,59,33,60
"12",11,"Drexel U. (Neuroscience)",35,81,23,80,34,79,20,61,68,88
"13",12,"Duke U. (Neurobiology)",16,59,16,68,33,82,6,23,16,31
"14",13,"Emory U. (Neuroscience (NS))",13,49,9,48,11,55,17,53,20,36
"15",14,"Florida Atlantic U. (Complex Systems and Brain Sciences)",89,93,88,93,37,80,59,84,83,93
"16",15,"Florida State U. (Neuroscience)",62,86,48,85,14,61,13,43,63,79
"17",16,"George Washington U. (Molecular Medicine)",31,74,24,76,17,74,21,62,55,75
"18",17,"Georgetown U. (Neuroscience)",14,50,21,75,4,51,3,14,25,50
"19",18,"Georgia State U. (Biology- Neuroscience &amp; Neurobiology)",30,70,41,83,3,53,8,29,70,88
"20",19,"Harvard U. (DMS- Neuroscience)",1,10,1,15,17,62,55,83,1,2
"21",20,"Indiana U. at Bloomington (Neural Science)",79,93,59,90,63,92,85,90,66,84
"22",21,"Indiana U.-Purdue U. Indianapolis (Medical Neurobiology)",58,88,29,74,87,94,78,92,41,73
"23",22,"Iowa State U. (Neuroscience)",76,91,68,90,71,93,15,48,71,91
