"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Binghamton U. (SUNY) (Nursing)","36","48","28","47","7","33","35","45","17","39"
"2",1,"Boston College (Nursing)","16","33","24","41","4","15","25","35","15","43"
"3",2,"Case Western Reserve U. (Nursing)","7","27","4","23","34","46","5","15","1","10"
"4",3,"Catholic U. of America (Nursing)","47","52","39","49","46","51","14","29","18","48"
"5",4,"Duquesne U. (Nursing)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"6",5,"Emory U. (Nursing)","3","9","5","25","1","1","2","4","8","35"
"7",6,"Florida Atlantic U. (Nursing)","42","51","33","49","20","42","12","26","26","47"
"8",7,"Georgia State U. (Nursing)","38","49","32","49","11","49","5","14","43","51"
"9",8,"Indiana U.-Purdue U. Indianapolis (Nursing Science)","23","40","17","38","23","42","37","47","17","39"
"10",9,"Johns Hopkins U. (Nursing)","1","6","1","3","15","44","15","28","2","16"
"11",10,"Loyola U. Chicago (Nursing)","43","51","42","51","15","43","38","50","35","48"
"12",11,"New York U. (Nursing)","9","31","4","26","47","52","39","49","3","16"
"13",12,"Ohio State U. Main Campus (Nursing)","17","39","7","29","30","50","30","44","21","44"
"14",13,"Oregon Health and Science U. (Nursing)","26","43","9","33","24","41","45","52","13","30"
"15",14,"Pennsylvania State U. (Nursing)","13","33","26","45","2","9","41","51","28","44"
"16",15,"Rutgers U. at Newark (Nursing)","50","52","47","51","44","52","15","29","45","52"
"17",16,"U. of Alabama at Birmingham (Nursing)","17","38","15","40","8","19","6","20","25","45"
"18",17,"U. of Arizona (Nursing)","9","31","7","32","8","39","18","31","9","25"
"19",18,"U. of California at Los Angeles (Nursing)","9","31","5","26","3","27","4","10","14","40"
"20",19,"U. of California at San Francisco (Nursing)","1","3","1","3","10","22","2","4","1","3"
"21",20,"U. of Cincinnati Main Campus (Nursing Research)","12","33","15","41","6","31","43","52","14","39"
"22",21,"U. of Colorado at Denver and Health Sciences Center (Nursing)","36","46","23","44","39","47","27","40","11","39"
"23",22,"U. of Connecticut (Nursing Ph.D.)","20","38","23","44","2","10","7","25","29","45"
"24",23,"U. of Florida (Nursing Sciences)","34","46","33","48","9","40","26","38","25","44"
"25",24,"U. of Hawaii-Manoa (Nursing)","33","45","27","46","18","28","16","28","26","45"
"26",25,"U. of Illinois at Chicago (Nursing Science)","6","18","6","30","21","38","3","7","5","20"
"27",26,"U. of Iowa (Nursing)","9","30","9","31","29","50","41","52","3","14"
"28",27,"U. of Kansas (Nursing)","20","39","14","37","4","19","47","52","16","36"
"29",28,"U. of Kentucky (Nursing)","6","18","6","24","8","27","35","46","6","25"
"30",29,"U. of Massachusetts at Amherst (Nursing)","11","30","23","44","2","13","7","20","27","47"
"31",30,"U. of Miami (Nursing)","17","38","41","51","23","51","1","1","44","52"
"32",31,"U. of Michigan at Ann Arbor (Nursing)","5","14","4","17","28","44","9","23","3","16"
"33",32,"U. of Minnesota-Twin Cities (Nursing)","10","35","3","19","48","52","37","46","7","21"
"34",33,"U. of Missouri at Columbia (Nursing)","11","34","7","31","7","23","40","49","17","40"
"35",34,"U. of Missouri at Kansas City (Nursing)","46","51","40","50","27","39","29","40","47","52"
"36",35,"U. of Missouri at Saint Louis (Nursing)","42","49","52","52","2","17","28","39","46","52"
"37",36,"U. of North Carolina at Chapel Hill (Nursing)","6","25","4","22","15","37","14","28","9","26"
"38",37,"U. of Pennsylvania (Nursing)","1","4","3","12","2","10","17","29","2","8"
"39",38,"U. of Pittsburgh Main Campus (Nursing)","10","32","7","30","20","43","28","38","8","24"
"40",39,"U. of Rhode Island (Nursing)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"41",40,"U. of Rochester (Health Practice Research)","24","42","8","32","33","43","14","29","14","33"
"42",41,"U. of South Carolina at Columbia (Nursing)","29","44","41","51","3","41","8","26","30","48"
"43",42,"U. of South Florida (Nursing)","18","33","38","50","6","19","5","15","26","45"
"44",43,"U. of Southern Mississippi (Nursing)","45","52","35","51","23","44","5","16","23","49"
"45",44,"U. of Tennessee (Nursing)","26","39","32","43","5","26","35","48","41","52"
"46",45,"U. of Texas at Austin (Nursing)","7","23","12","34","12","41","5","17","11","28"
"47",46,"U. of Utah (Nursing)","23","41","15","38","17","47","48","52","16","34"
"48",47,"U. of Virginia (Nursing)","8","23","18","40","2","15","9","24","20","41"
"49",48,"U. of Washington (Nursing)","5","14","5","25","20","37","19","31","2","9"
"50",49,"U. of Wisconsin at Madison (Nursing)","8","26","10","32","7","23","33","44","10","26"
"51",50,"U. of Wisconsin at Milwaukee (Nursing)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"52",51,"Vanderbilt U. (Nursing Science)","9","30","6","26","22","42","30","40","16","39"
"53",52,"Virginia Commonwealth U. (Nursing)","37","49","20","44","43","52","12","26","12","46"
"54",53,"Wayne State U. (Nursing)","28","43","16","33","41","51","7","19","21","43"
"55",54,"Yale U. (Nursing)","1","5","2","6","19","36","27","37","2","17"
