"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Auburn U. (Nutrition &amp; Food Science)","29","41","38","44","2","10","6","9","39","44"
"2",1,"Case Western Reserve U. (Nutrition)","14","28","18","34","25","42","28","41","18","31"
"3",2,"Columbia U. (Nutrition)","2","16","1","13","33","42","9","21","8","17"
"4",3,"Cornell U. (Nutrition)","13","29","12","28","13","34","10","25","5","12"
"5",4,"Emory U. (Nutrition and Health Sciences (NHS))","8","24","4","21","13","37","15","34","11","25"
"6",5,"Florida International U. (Dietetics and Nutrition)","21","39","17","37","31","43","3","4","34","42"
"7",6,"Howard U. (Nutritional Science)","11","30","19","40","30","42","1","2","41","44"
"8",7,"Iowa State U. (Nutrition)","16","33","21","36","2","18","22","39","18","32"
"9",8,"Johns Hopkins U. (Human Nutrition)","19","34","16","30","34","44","8","17","14","31"
"10",9,"Kansas State U. (Nutrition)","8","23","23","39","1","1","13","33","24","37"
"11",10,"Michigan State U. (Human Nutrition)","30","42","30","41","23","42","19","39","20","35"
"12",11,"Mississippi State U. (Nutrition (degree: Ph.D. in Food Sci., Nutrition))","43","44","43","44","8","27","40","44","31","44"
"13",12,"North Carolina State U. (Nutrition)","29","42","14","32","32","44","40","44","16","33"
"14",13,"Ohio State U. Main Campus (Nutrition Program, The Ohio State University)","4","19","4","19","2","21","26","38","8","20"
"15",14,"Oregon State U. (Nutrition and Food Management)","31","41","38","43","31","42","12","35","16","32"
"16",15,"Pennsylvania State U. (Nutritional Sciences)","1","10","2","12","18","33","24","38","1","6"
"17",16,"Purdue U. Main Campus (Foods and Nutrition)","9","24","15","32","10","28","14","34","10","20"
"18",17,"Rutgers U. at New Brunswick (Nutritional Sciences)","9","26","5","23","3","23","11","26","15","26"
"19",18,"Texas A&M U. (Nutrition)","7","25","5","23","4","22","32","40","11","22"
"20",19,"Tufts U. (Nutrition)","1","9","1","8","12","30","17","34","1","5"
"21",20,"U. of Alabama at Birmingham (Nutrition Sciences)","10","29","4","24","5","28","11","27","23","35"
"22",21,"U. of Arizona (Nutritional Science)","16","34","11","29","21","34","13","33","12","26"
"23",22,"U. of California at Berkeley (Molecular and Biochemical Nutrition)","1","10","1","9","11","29","24","38","3","11"
"24",23,"U. of California at Davis (Nutritional Biology (Nutrition))","3","16","4","21","8","25","13","31","1","5"
"25",24,"U. of Connecticut (Nutritional Science Ph.D.)","12","30","10","31","5","28","12","27","11","27"
"26",25,"U. of Florida (Food Science &amp; Human Nutrition: Nutritional Sci)","10","26","7","21","9","37","15","37","6","14"
"27",26,"U. of Georgia (Foods &amp; Nutrition)","21","36","30","41","3","29","1","2","31","43"
"28",27,"U. of Illinois at Chicago (Human Nutrition)","18","36","17","35","10","31","6","10","29","39"
"29",28,"U. of Illinois at Urbana-Champaign (Nutritional Science)","3","15","3","17","3","20","14","31","5","12"
"30",29,"U. of Kentucky (Nutritional Sciences)","4","19","8","27","4","28","31","42","9","20"
"31",30,"U. of Maryland at College Park (Nutrition)","34","43","36","43","30","42","4","7","35","43"
"32",31,"U. of Minnesota-Twin Cities (Nutrition)","5","20","3","17","6","32","12","31","6","14"
"33",32,"U. of Nebraska at Lincoln (Nutrition)","41","44","39","43","7","30","22","39","31","38"
"34",33,"U. of North Carolina at Chapel Hill (Nutrition)","1","7","1","14","4","24","10","23","1","8"
"35",34,"U. of North Carolina at Greensboro (Nutrition)","28","42","22","39","5","27","8","14","33","40"
"36",35,"U. of Rhode Island (Nutrition &amp; Food Sciences)","20","36","15","33","4","17","36","44","19","37"
"37",36,"U. of Southern Mississippi (Nutrition &amp; Food Systems)","27","43","15","37","5","37","3","6","35","43"
"38",37,"U. of Tennessee (Nutrition)","18","32","31","40","2","26","14","35","20","35"
"39",38,"U. of Texas at Austin (Nutritional Sciences)","29","42","22","37","38","44","20","39","13","29"
"40",39,"U. of Washington (Nutritional Sciences)","4","21","4","21","15","42","11","28","12","28"
"41",40,"U. of Wisconsin at Madison (Nutritional Sciences)","1","7","1","8","4","25","33","42","1","7"
"42",41,"Utah State U. (Nutrition and Food Sciences (AG))","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"43",42,"Virginia Tech (Human Nutrition, Foods and Exercise)","30","42","29","40","23","41","41","44","17","32"
"44",43,"Washington State U. (Graduate Program in Nutrition)","23","42","19","39","33","44","9","26","25","38"
"45",44,"Wayne State U. (Nutrition and Food Science)","28","41","24","38","4","32","4","7","31","41"
