"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Auburn U. (Pharmaceutical Sciences)","83","111","69","114","2","42","16","55","35","97"
"2",1,"Baylor College of Medicine (Pharmacology)","4","48","32","103","1","30","84","107","71","109"
"3",2,"Boston U. (Pharmacology)","14","78","10","68","79","106","65","97","24","73"
"4",3,"Case Western Reserve U. (Pharmacology)","21","79","27","96","9","52","14","46","10","50"
"5",4,"Clemson U. (Environmental Toxicology)","68","109","34","104","19","75","74","107","53","101"
"6",5,"Colorado State U. (Environmental Health)","110","116","93","115","89","111","81","108","48","106"
"7",6,"Columbia U. (Pharmacology)","4","40","1","27","95","113","24","67","10","59"
"8",7,"Cornell U. (Environmental Toxicology)","85","108","91","113","7","67","5","25","41","98"
"9",8,"Cornell U. (Pharmacology)","84","107","95","114","20","90","26","61","15","75"
"10",9,"Cornell U. (Weill Grad School of Medical Sci - Pharmacology)","6","52","6","52","47","94","30","69","2","28"
"11",10,"Dartmouth College (Pharmacology &amp; Toxicology)","3","45","9","63","3","35","43","83","2","30"
"12",11,"Duke U. (Pharmacology)","3","33","5","41","22","68","48","92","7","36"
"13",12,"Emory U. (Molecular and Systems Pharmacology (MSP))","7","52","2","34","37","82","10","37","6","31"
"14",13,"Georgetown U. (Pharmacology)","24","84","28","95","13","78","50","93","15","64"
"15",14,"Howard U. (Pharmacology)","66","104","48","108","110","116","1","1","44","110"
"16",15,"Indiana U.-Purdue U. Indianapolis (Pharmacology)","37","96","28","96","36","98","9","34","56","105"
"17",16,"Iowa State U. (Toxicology)","55","101","28","96","45","96","7","26","94","114"
"18",17,"Johns Hopkins U. (Environmental Health Sciences)","22","82","23","92","73","103","8","35","3","27"
"19",18,"Johns Hopkins U. (Pharmacology and Molecular Sciences)","1","17","2","35","15","80","44","83","4","40"
"20",19,"Loyola U. Chicago (Pharmacology and Experimental Therapeutics)","9","56","10","62","3","43","40","91","9","67"
"21",20,"Massachusetts Institute of Technology (Applied Biosciences)","1","21","2","23","48","93","76","103","1","9"
"22",21,"Michigan State U. (Environmental Toxicology)","6","37","17","74","15","57","39","76","16","58"
"23",22,"Michigan State U. (Pharmacology and Toxicology)","39","91","28","94","14","69","16","48","42","93"
"24",23,"New York U. (Environmental Health Science)","15","74","12","80","94","111","6","26","23","75"
"25",24,"New York U. (Molecular Pharmacology/ Sackler)","12","71","8","72","15","83","29","72","18","78"
"26",25,"North Carolina State U. (Toxicology)","61","103","37","100","72","108","28","70","38","99"
"27",26,"North Dakota State U. Main Campus (Pharmaceutical Sciences)","45","100","39","108","1","21","42","91","64","111"
"28",27,"Ohio State U. Main Campus (Pharmacy)","16","61","34","90","9","53","33","72","3","24"
"29",28,"Oregon State U. (Pharmacy)","96","112","90","115","78","103","3","15","73","108"
"30",29,"Oregon State U. (Toxicology)","96","111","87","113","96","110","25","66","37","85"
"31",30,"Pennsylvania State U. (Pharmacology)","13","64","29","96","1","14","113","115","38","102"
"32",31,"Rutgers U. at New Brunswick (Pharmaceutical Sciences)","45","99","10","71","97","109","18","53","71","108"
"33",32,"Rutgers U. at New Brunswick and U. of Medicine and Dentistry of New Jersey at Piscataway (Cellular and Molecular Pharmacology)","51","101","29","94","25","101","8","28","58","108"
"34",33,"Rutgers U. at New Brunswick and U. of Medicine and Dentistry of New Jersey at Piscataway (Toxicology)","80","110","26","94","105","115","25","69","24","85"
"35",34,"Southern Illinois U. at Carbondale (Pharmacology)","102","116","44","107","107","116","110","114","109","116"
"36",35,"Stanford U. (Chemical &amp; Systems Biology)","1","12","1","15","61","110","74","101","2","45"
"37",36,"State U. of New York at Stony Brook (Molecular and Cellular Pharmacology)","53","99","38","95","21","79","9","29","15","57"
"38",37,"State U. of New York Upstate Medical U. (Pharmacology)","21","79","23","96","32","85","41","89","81","110"
"39",38,"Temple U. (Pharmacology)","66","104","42","96","38","102","25","61","29","100"
"40",39,"Thomas Jefferson U. (Molecular Pharmacology and Structural Biology)","6","49","1","19","86","111","86","108","26","89"
"41",40,"Tufts U. (Pharmacology, Drug Design,  Experimental Therapeutics)","14","68","15","80","3","32","7","31","37","95"
"42",41,"U. at Buffalo (SUNY) (Pharmaceutical Sciences)","13","71","14","84","5","48","61","99","47","97"
"43",42,"U. at Buffalo (SUNY) (Pharmacology)","28","87","31","93","37","87","34","75","23","70"
"44",43,"U. of Alabama at Birmingham (Pharmacology and Toxicology)","25","88","22","98","30","87","29","74","35","87"
"45",44,"U. of Arizona (Medical Pharmacology)","5","44","4","49","2","39","32","70","66","107"
"46",45,"U. of Arizona (Pharmaceutical Sciences)","14","69","29","96","10","48","52","87","8","40"
"47",46,"U. of California at Davis (Pharmacology &amp; Toxicology)","19","77","15","75","35","83","49","89","23","72"
"48",47,"U. of California at Irvine (Pharmacology and Toxicology)","41","96","21","90","80","104","33","74","31","81"
"49",48,"U. of California at Los Angeles (Molecular and Medical Pharmacology)","5","42","4","34","78","104","38","75","3","32"
"50",49,"U. of California at Riverside (Environmental Toxicology)","10","65","7","55","16","77","19","52","24","81"
"51",50,"U. of California at San Francisco (Pharmaceutical Sciences and Pharmaco- genomics)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"52",51,"U. of Cincinnati Main Campus (Environmental Health)","21","82","23","91","25","75","45","83","32","88"
"53",52,"U. of Cincinnati Main Campus (Molecular, Cellular and Biochemical Pharmacology)","33","94","16","89","18","62","46","87","48","90"
"54",53,"U. of Colorado at Denver and Health Sciences Center (Pharmaceutical Sciences)","45","95","62","109","6","54","99","111","46","97"
"55",54,"U. of Colorado at Denver and Health Sciences Center (Pharmacology)","28","88","19","86","4","55","99","111","16","65"
"56",55,"U. of Connecticut (Biomed Sci: Cell, Molecular Pharmacology)","72","112","29","105","56","114","70","106","94","116"
"57",56,"U. of Connecticut (Pharmaceutical Science Ph.D. Pharmacology and Toxicology)","94","111","89","113","57","96","49","87","85","110"
"58",57,"U. of Florida (Pharmaceutical Sciences: Medicinal Chemistry)","19","79","22","85","3","46","20","51","52","100"
"59",58,"U. of Florida (Pharmaceutical Sciences: Pharmaco- dynamics)","40","96","36","102","10","78","6","33","34","96"
"60",59,"U. of Florida (Pharmaceutical Sciences: Pharmacy)","5","51","8","65","1","21","33","73","20","75"
"61",60,"U. of Georgia (Pharmacy)","40","87","83","112","5","39","3","11","12","62"
"62",61,"U. of Georgia (Toxicology)","36","96","20","85","107","116","3","12","34","100"
"63",62,"U. of Houston main campus (Pharmaceutics)","20","87","37","108","1","23","10","34","96","114"
"64",63,"U. of Houston main campus (Pharmacology)","68","103","56","105","54","97","69","103","111","116"
"65",64,"U. of Illinois at Chicago (Pharmacology)","9","66","5","50","16","84","24","69","11","57"
"66",65,"U. of Illinois at Chicago (Medicinal Chemistry, Pharmacognosy, Biopharma- ceutical Sciences)","29","78","53","104","72","103","53","92","15","65"
"67",66,"U. of Iowa (Pharmacology)","57","98","48","100","68","101","72","98","38","86"
"68",67,"U. of Kansas (Pharmacology and Toxicology)","66","106","55","109","64","103","16","46","70","109"
"69",68,"U. of Kansas (Pharmacology, Toxicology and Therapeutics)","43","100","13","78","51","99","70","100","20","74"
"70",69,"U. of Kentucky (Molecular &amp; Biomedical Pharmacology)","26","90","26","100","15","74","18","52","44","93"
"71",70,"U. of Kentucky (Pharmaceutical Sciences)","46","95","50","107","16","56","67","97","56","93"
"72",71,"U. of Kentucky (Toxicology)","28","84","40","102","10","68","3","16","41","96"
