"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Arizona State U. (Physics)","78","137","60","130","100","148","34","84","55","109"
"2",1,"Auburn U. (Physics)","92","141","93","147","45","131","13","42","62","141"
"3",2,"Baylor U. (Physics)","118","149","115","149","64","139","28","77","96","147"
"4",3,"Boston College (Physics)","24","76","23","83","87","148","42","104","57","118"
"5",4,"Boston U. (Physics)","6","30","5","38","63","131","2","11","11","28"
"6",5,"Brandeis U. (Physics)","27","78","15","71","29","104","98","137","35","89"
"7",6,"Brigham Young U. (Physics and Astronomy)","118","153","130","158","15","139","66","113","108","153"
"8",7,"Brown U. (Physics)","18","67","21","93","22","90","28","83","37","85"
"9",8,"California Institute of Technology (Applied Physics)","10","41","17","72","4","43","85","130","18","41"
"10",9,"California Institute of Technology (Physics)","4","22","4","32","15","90","88","132","4","12"
"11",10,"Carnegie Mellon U. (Physics)","10","47","8","57","17","83","54","110","27","54"
"12",11,"Case Western Reserve U. (Physics)","41","107","41","122","9","54","23","74","40","91"
"13",12,"Catholic U. of America (Physics)","121","156","32","119","159","160","157","160","100","155"
"14",13,"City U. of New York Graduate Center (Physics)","125","153","121","152","109","149","8","31","54","123"
"15",14,"Clark U. (Physics)","131","155","144","159","12","102","11","52","104","146"
"16",15,"Clemson U. (Physics)","59","120","46","120","5","39","77","127","100","151"
"17",16,"College of William and Mary (Applied Science)","48","120","101","156","4","42","72","128","35","97"
"18",17,"College of William and Mary (Physics)","35","95","44","121","3","31","34","94","41","97"
"19",18,"Colorado State U. (Physics)","60","126","36","114","76","140","55","108","49","102"
"20",19,"Columbia U. (Physics)","5","24","5","43","40","124","17","60","10","26"
"21",20,"Cornell U. (Physics)","8","35","6","50","35","107","102","137","6","16"
"22",21,"Dartmouth College (Physics &amp; Astronomy)","64","124","61","135","42","125","5","31","66","130"
"23",22,"Drexel U. (Physics)","84","137","63","130","118","157","17","66","122","154"
"24",23,"Duke U. (Physics)","14","67","7","63","55","127","78","123","30","73"
"25",24,"Florida Atlantic U. (Physics)","141","157","135","159","66","141","2","17","133","160"
"26",25,"Florida International U. (Physics)","34","104","42","115","3","131","2","14","114","159"
"27",26,"Florida State U. (Physics)","42","109","30","111","24","98","70","116","37","83"
"28",27,"George Washington U. (Physics)","66","139","36","121","109","156","48","107","77","132"
"29",28,"Georgia Institute of Technology (Physics)","40","104","33","110","22","88","53","107","36","83"
"30",29,"Georgia State U. (Physics)","75","127","93","140","80","147","1","5","106","154"
"31",30,"Harvard U. (DEAS-Applied Physics)","3","18","3","24","13","87","42","101","5","27"
"32",31,"Harvard U. (Physics)","1","3","1","7","11","71","44","103","1","3"
"33",32,"Illinois Institute of Technology (Physics)","108","149","109","152","16","115","20","63","131","157"
"34",33,"Indiana U. at Bloomington (Physics)","20","72","39","116","10","102","16","60","35","75"
"35",34,"Iowa State U. (Physics)","17","71","8","53","38","115","127","149","31","68"
"36",35,"Johns Hopkins U. (Physics)","16","59","13","69","32","102","48","104","37","81"
"37",36,"Kansas State U. (Physics)","26","82","38","116","2","40","6","34","61","117"
"38",37,"Lehigh U. (Physics)","139","157","135","159","113","154","111","142","102","152"
"39",38,"Louisiana State U. at Baton Rouge (Physics)","77","135","70","134","38","119","109","141","74","127"
