"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"American U. (Political Science)","85","94","86","100","87","98","3","14","49","82"
"2",1,"Arizona State U. (Political Science)","48","67","62","83","15","57","28","52","48","78"
"3",2,"Binghamton U. (SUNY) (Political Science)","5","20","3","15","8","48","18","40","23","49"
"4",3,"Boston College (Political Science)","65","86","70","93","42","75","89","101","47","92"
"5",4,"Boston U. (Political Science)","59","81","61","80","85","104","6","24","44","81"
"6",5,"Brandeis U. (Politics)","73","89","84","103","30","68","36","63","56","90"
"7",6,"Brown U. (Political Science)","33","51","29","57","66","87","8","25","41","71"
"8",7,"Catholic U. of America (Politics)","100","104","88","103","85","98","91","101","97","104"
"9",8,"City U. of New York Graduate Center (Political Science)","87","97","64","83","101","104","11","32","46","79"
"10",9,"Claremont Graduate U. (Politics and Policy)","98","103","85","100","99","104","32","54","68","95"
"11",10,"Columbia U. (Political Science)","6","17","5","16","68","89","26","50","2","5"
"12",11,"Cornell U. (Government)","25","37","26","43","20","55","7","25","12","27"
"13",12,"Duke U. (Political Science)","6","20","6","17","13","49","74","90","6","17"
"14",13,"Emory U. (Political Science)","11","32","11","29","6","46","56","83","18","38"
"15",14,"Florida International U. (International Relations)","50","73","64","82","7","68","35","62","55","89"
"16",15,"Florida International U. (Political Science)","78","92","78","98","51","76","3","10","98","104"
"17",16,"Florida State U. (Political Science)","16","37","17","42","1","13","53","77","43","80"
"18",17,"George Washington U. (Political Science)","7","22","3","14","57","83","80","97","17","35"
"19",18,"Georgetown U. (Government)","62","77","56","71","82","91","75","94","23","44"
"20",19,"Georgia State U. (Political Science)","52","72","52","69","27","69","3","14","71","95"
"21",20,"Harvard U. (Government)","1","2","1","4","6","33","59","81","1","3"
"22",21,"Howard U. (Political Science)","70","86","92","103","95","103","1","1","43","102"
"23",22,"Indiana U. at Bloomington (Political Science)","11","28","19","38","2","30","42","66","23","49"
"24",23,"Johns Hopkins U. (Political Science)","66","82","77","95","22","55","12","33","47","78"
"25",24,"Louisiana State U. at Baton Rouge (Political Science)","45","62","43","63","65","93","84","97","41","76"
"26",25,"Loyola U. Chicago (Political Science)","97","104","75","99","86","100","92","104","88","104"
"27",26,"Massachusetts Institute of Technology (Political Science)","13","36","4","25","66","85","49","75","11","30"
"28",27,"Michigan State U. (Political Science)","15","29","21","37","8","36","50","74","27","46"
"29",28,"New York U. (Politics)","3","7","2","8","19","58","9","30","5","12"
"30",29,"Northern Illinois U. (Political Science)","88","98","92","103","38","68","45","71","81","96"
"31",30,"Northwestern U. (Political Science)","35","49","28","50","53","79","17","40","30","55"
"32",31,"Ohio State U. Main Campus (Political Science)","19","34","21","41","8","41","48","74","7","20"
"33",32,"Old Dominion U. (International Studies)","93","102","78","98","96","104","35","59","77","95"
"34",33,"Pennsylvania State U. (Political Science)","3","7","6","19","1","20","7","27","16","33"
"35",34,"Princeton U. (Politics)","7","16","13","21","6","33","41","70","7","16"
"36",35,"Purdue U. Main Campus (Political Science)","39","53","47","64","24","61","4","16","42","71"
"37",36,"Rice U. (Political Science)","4","15","5","16","1","27","10","30","22","44"
"38",37,"Rutgers U. at New Brunswick (Political Science)","47","67","53","72","37","72","36","63","23","48"
"39",38,"Southern Illinois U. at Carbondale (Political Science)","92","101","70","90","61","80","74","93","100","105"
"40",39,"Stanford U. (Political Science)","1","2","1","3","1","13","43","69","2","9"
"41",40,"State U. of New York at Albany (Political Science)","93","101","86","102","87","98","42","67","64","89"
"42",41,"State U. of New York at Stony Brook (Political Science)","14","37","14","44","4","29","50","79","21","42"
"43",42,"Syracuse U. Main Campus (Political Science)","64","83","71","92","42","72","10","32","38","70"
"44",43,"Temple U. (Political Science)","53","74","32","52","66","89","63","86","63","95"
"45",44,"Texas A&M U. (Political Science)","13","30","12","25","5","40","39","61","22","46"
"46",45,"Texas Tech U. (Political Science)","73","92","69","96","15","51","61","83","88","100"
