"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Arizona State U. (Spanish)",5,17,7,24,21,48,2,17,22,46
"2",1,"Boston College (Spanish and Portuguese Language and Literature)",52,60,47,54,15,54,28,43,42,55
"3",2,"Boston U. (Hispanic Language and Literature)",16,49,7,23,31,57,1,17,17,45
"4",3,"Brown U. (Hispanic Studies)",1,7,1,4,4,33,42,54,2,23
"5",4,"City U. of New York Graduate Center (Hispanic &amp; Luso-Brazilian Lit. and Languages)",32,56,7,26,58,60,3,20,14,44
"6",5,"Columbia U. (Spanish and Portuguese)",24,54,6,18,59,60,27,45,2,15
"7",6,"Cornell U. (Romance Studies-Spanish)",8,28,6,22,1,25,44,55,4,24
"8",7,"Duke U. (Romance Studies - Spanish)",16,43,20,38,15,53,1,15,14,39
"9",8,"Emory U. (Spanish)",45,59,59,60,2,26,40,52,31,51
"10",9,"Florida International U. (Spanish)",53,60,14,36,54,58,9,31,59,60
"11",10,"Florida State U. (Spanish)",40,59,54,58,1,22,42,54,18,49
"12",11,"Georgetown U. (Spanish)",13,38,18,33,18,48,22,40,4,29
"13",12,"Indiana U. at Bloomington (Spanish)",17,45,46,54,27,55,45,55,8,42
"14",13,"Michigan State U. (Spanish Language, Literature and Culture)",30,54,48,55,4,39,11,32,26,47
"15",14,"New York U. (Spanish and Portuguese)",6,24,5,15,26,54,14,32,1,13
"16",15,"Ohio State U. Main Campus (Spanish and Portuguese)",14,39,21,37,6,31,31,47,5,32
"17",16,"Pennsylvania State U. (Spanish)",1,7,13,30,1,13,24,40,2,26
"18",17,"Princeton U. (Spanish and Portuguese Language and Literature)",8,34,13,32,2,46,4,23,10,44
"19",18,"Purdue U. Main Campus (Foreign Languages &amp; Literatures)",10,33,38,50,9,40,17,36,3,23
"20",19,"Rutgers U. at New Brunswick (Spanish)",35,57,36,47,33,52,3,19,31,50
"21",20,"Stanford U. (Spanish)",2,10,2,4,33,55,4,22,11,42
"22",21,"State U. of New York at Albany (Spanish)",30,54,28,42,54,58,25,42,42,59
"23",22,"State U. of New York at Stony Brook (Hispanic Languages and Literature)",18,44,15,35,27,50,6,25,16,43
"24",23,"Temple U. (Spanish)",47,59,46,55,13,37,22,39,41,56
"25",24,"Texas Tech U. (Spanish)",15,47,19,38,28,56,39,52,45,60
"26",25,"Tulane U. (Spanish and Portuguese)",21,47,30,45,5,38,24,42,8,39
"27",26,"U. at Buffalo (SUNY) (Spanish Language and Literature)",50,60,55,59,16,46,21,38,27,51
"28",27,"U. of Arizona (Spanish)",31,54,51,57,1,17,36,51,35,54
