"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Bowling Green State U. (Theatre)",10,19,19,25,2,10,8,17,12,27
"2",1,"City U. of New York Graduate Center (Theatre)",10,20,1,3,25,27,16,23,4,16
"3",2,"Louisiana State U. at Baton Rouge (Theatre)",12,21,22,25,2,10,17,25,19,26
"4",3,"New York U. (Performance Studies)",1,1,1,3,15,22,2,3,1,1
"5",4,"Northwestern U. (Performance Studies)",2,9,20,25,4,14,1,1,4,18
"6",5,"Northwestern U. (Theatre and Drama)",11,20,12,18,5,14,8,15,4,16
"7",6,"Ohio State U. Main Campus (Theatre)",8,19,9,14,5,16,8,15,2,15
"8",7,"Stanford U. (Drama)",2,4,5,9,1,4,7,14,2,9
"9",8,"Tufts U. (Drama)",2,7,1,3,15,21,22,27,2,12
"10",9,"U. of California at Berkeley (Performance Studies)",5,14,12,17,14,20,4,8,2,16
"11",10,"U. of California at Davis (Performance Studies)",4,16,15,20,10,25,4,8,6,18
"12",11,"U. of California at Irvine and at San Diego (Drama and Theatre)",9,20,6,12,9,20,13,19,14,24
"13",12,"U. of California at Los Angeles (Theater)",7,17,6,12,10,21,4,8,8,21
"14",13,"U. of California at Riverside (Dance History)",23,27,26,26,21,27,2,4,18,27
"15",14,"U. of California at Santa Barbara (Dramatic Art)",3,10,5,7,8,17,8,15,2,12
"16",15,"U. of Colorado at Boulder (Theatre)",24,27,27,27,5,16,23,27,12,23
"17",16,"U. of Georgia (Theatre)",15,22,12,18,16,25,9,17,16,26
"18",17,"U. of Hawaii-Manoa (Theatre)",23,27,14,20,23,27,6,15,14,27
"19",18,"U. of Kansas (Theatre and Film)",20,24,20,25,4,14,19,26,18,27
"20",19,"U. of Maryland at College Park (Theatre and Performance Studies)",5,16,20,25,1,13,8,17,2,15
"21",20,"U. of Minnesota-Twin Cities (Theatre Arts)",21,27,13,19,11,25,16,22,19,27
"22",21,"U. of Missouri at Columbia (Theatre)",5,16,14,19,10,20,17,24,5,19
"23",22,"U. of Oregon (Theatre Arts)",22,27,18,24,1,14,19,27,20,27
"24",23,"U. of Texas at Austin (Theatre)",16,22,6,11,21,26,4,10,8,21
"25",24,"U. of Washington (Drama)",2,10,5,10,1,9,20,27,3,20
"26",25,"U. of Wisconsin at Madison (Theatre and Drama)",13,21,9,14,20,25,13,20,2,16
"27",26,"Yale U. (Dramaturgy and Dramatic Criticism)",5,14,4,4,2,9,18,27,6,20
