"","Rank","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low","meanHigh","meanLow","meanRank"
"48",1,"Princeton U. (Electrical Engineering)",1,3,1,4,1,14,28,85,2,3,6.6,21.8,14.2
"116",2,"U. of South Carolina at Columbia (Electrical Engineering)",4,17,3,12,14,52,23,84,14,39,11.6,40.8,26.2
"6",3,"California Institute of Technology (Electrical Engineering)",4,8,4,11,4,25,66,120,6,14,16.8,35.6,26.2
"74",4,"U. of California at Riverside (Electrical Engineering)",10,38,10,41,8,58,2,8,30,63,12,41.6,26.8
"23",5,"Harvard U. (DEAS-Engineering Sciences)",1,3,1,3,20,66,58,110,4,15,16.8,39.4,28.1
"77",6,"U. of California at Santa Cruz (Electrical Engineering)",14,45,12,49,3,16,12,54,31,60,14.4,44.8,29.6
"136",7,"Yale U. (Electrical Engineering)",6,24,7,25,15,73,12,68,21,46,12.2,47.2,29.7
"18",8,"Duke U. (Electrical and Computer Engineering)",10,40,11,48,11,46,12,48,30,58,14.8,48,31.4
"92",9,"U. of Illinois at Urbana-Champaign (Electrical and Computer Engineering)",4,13,6,23,12,48,84,121,3,7,21.8,42.4,32.1
"69",10,"U. of Arkansas Main Campus (Microelectronics-photonics)",11,41,19,63,1,13,15,60,35,81,16.2,51.6,33.9
"56",11,"Stanford U. (Electrical Engineering)",1,3,1,4,57,102,76,117,1,1,27.2,45.4,36.3
"32",12,"Massachusetts Institute of Technology (Electrical and Computer Engineering)",6,18,6,20,11,46,108,128,7,15,27.6,45.4,36.5
"49",13,"Purdue U. Main Campus (Electrical &amp; Computer Engineering)",8,26,13,47,55,97,21,82,5,13,20.4,53,36.7
"26",14,"Iowa State U. (Electrical Engineering)",18,53,19,69,15,54,17,81,22,38,18.2,59,38.6
"5",15,"Brown U. (ENGINEERING: Electrical Science and Computer Engineering)",12,36,21,60,7,46,30,95,29,55,19.8,58.4,39.1
"80",16,"U. of Central Florida (Optics)",6,21,4,12,11,43,112,131,16,36,29.8,48.6,39.2
"22",17,"Georgia Institute of Technology (Electrical &amp; Computer Engineering)",8,30,14,59,79,107,20,74,2,7,24.6,55.4,40
"1",18,"Arizona State U. (Electrical Engineering)",11,40,15,51,21,59,51,109,14,31,22.4,58,40.2
"124",19,"U. of Virginia (Electrical Engineering)",14,50,14,58,39,92,10,52,26,49,20.6,60.2,40.4
"83",20,"U. of Connecticut (Electrical Engineering Ph.D.)",20,55,14,59,19,64,20,79,27,50,20,61.4,40.7
"101",21,"U. of Michigan at Ann Arbor (Electrical and Computer Engineering)",8,27,8,29,64,101,55,108,4,11,27.8,55.2,41.5
"47",22,"Pennsylvania State U. (Electrical Engineering)",12,40,14,50,30,73,53,110,16,29,25,60.4,42.7
"27",23,"Johns Hopkins U. (Electrical and Computer Engineering)",22,61,13,49,39,89,18,73,20,48,22.4,64,43.2
"73",24,"U. of California at Los Angeles (Electrical Engineering)",6,19,5,19,70,105,74,117,5,13,32,54.6,43.3
"40",25,"Northwestern U. (Electrical and Computer Engineering)",8,29,10,43,22,69,74,121,20,38,26.8,60,43.4
"70",26,"U. of California at Berkeley (Electrical Engineering and Computer Science)",7,26,8,31,23,69,118,132,6,15,32.4,54.6,43.5
"102",27,"U. of Minnesota-Twin Cities (Electrical Engineering)",14,47,13,57,24,57,64,116,15,30,26,61.4,43.7
"7",28,"Carnegie Mellon U. (Electrical &amp; Computer Engineering)",20,54,29,87,20,56,37,94,15,26,24.2,63.4,43.8
"129",29,"Vanderbilt U. (Electrical Engineering)",24,61,20,68,4,34,34,94,35,68,23.4,65,44.2
"103",30,"U. of Mississippi (Electrical Engineering)",23,65,19,72,1,4,31,108,43,81,23.4,66,44.7
