"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Auburn U. (Aerospace Engineering)",21,30,22,31,1,9,13,24,27,31
"2",1,"California Institute of Technology (Aeronautics)",1,1,1,2,1,3,16,25,2,7
"3",2,"Cornell U. (Aerospace Engineering)",5,14,3,12,13,24,12,22,10,23
"4",3,"Georgia Institute of Technology (Aerospace Engineering)",5,12,6,22,10,17,4,10,3,12
"5",4,"Iowa State U. (Aerospace Engineering)",24,31,22,31,21,27,4,13,27,31
"6",5,"Massachusetts Institute of Technology (Aeronautics and Astronautics)",7,16,8,23,10,18,1,3,2,5
"7",6,"North Carolina State U. (Aerospace Engineering)",17,29,12,28,14,24,24,28,13,25
"8",7,"Ohio State U. Main Campus (Aeronautical and Astronautical Engineering)",19,31,26,31,29,31,7,20,19,28
"9",8,"Old Dominion U. (Aerospace Engineering)",21,30,19,31,10,25,13,24,25,30
"10",9,"Pennsylvania State U. (Aerospace Engineering)",9,19,7,22,19,23,4,11,7,21
"11",10,"Purdue U. Main Campus (Aeronautics &amp; Astronautics)",7,16,8,23,4,11,7,14,6,16
"12",11,"Rensselaer Polytechnic Institute (Aeronautical Engineering)",20,30,6,22,29,31,31,31,10,24
"13",12,"Stanford U. (Aeronautics and Astronautics)",2,3,1,3,24,27,17,26,1,1
"14",13,"Texas A&M U. (Aerospace Engineering)",5,13,7,21,6,15,3,12,11,24
"15",14,"U. at Buffalo (SUNY) (Aerospace Engineering)",12,22,20,31,1,5,20,28,9,22
"16",15,"U. of Arizona (Aerospace Engineering)",20,29,20,29,2,13,18,27,28,31
"17",16,"U. of California at Los Angeles (Aerospace Engineering)",15,27,5,19,28,30,11,20,6,17
"18",17,"U. of Cincinnati Main Campus (Aerospace Engineering)",18,27,20,30,15,23,1,5,20,27
"19",18,"U. of Colorado at Boulder (Aerospace Engineering Sciences)",4,12,4,16,10,17,16,26,2,6
"20",19,"U. of Florida (Aerospace Engineering)",11,21,6,22,24,27,1,6,9,22
"21",20,"U. of Illinois at Urbana-Champaign (Aerospace Engineering)",6,15,8,23,12,22,11,21,12,25
"22",21,"U. of Kansas (Aerospace Engineering)",29,31,22,31,28,31,17,27,26,31
"23",22,"U. of Maryland at College Park (Aerospace Engineering)",4,11,5,18,2,9,2,7,5,15
"24",23,"U. of Michigan at Ann Arbor (Aerospace Engineering)",2,5,3,8,6,12,4,12,2,9
"25",24,"U. of Minnesota-Twin Cities (Aerospace Engineering and Mechanics)",3,7,2,5,2,7,8,17,4,15
"26",25,"U. of Notre Dame (Aerospace Engineering)",11,22,6,22,5,13,28,30,9,22
"27",26,"U. of Southern California (Aerospace Engineering)",18,26,17,28,5,14,11,19,18,26
"28",27,"U. of Texas at Austin (Aerospace Engineering)",15,26,8,24,23,26,27,30,6,17
"29",28,"U. of Washington (Aeronautics and Astronautics)",10,21,6,22,17,24,27,29,12,24
"30",29,"Virginia Tech (Aerospace Engineering)",8,18,10,26,11,19,17,24,8,21
"31",30,"Wright State U. Main Campus (Engineering)",16,28,8,26,12,20,5,15,18,27
