"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Baylor College of Medicine (Biochemistry &amp; Molecular Biology)","2","21","5","49","84","143","13","36","16","29"
"2",1,"Baylor College of Medicine (Structural &amp; Computational Biology &amp; Molecular Biophysics)","5","33","8","59","2","60","97","131","21","45"
"3",2,"Boston U. (Biochemistry, Biophysics, &amp; Molecular Biology, School of Medicine)","64","140","39","126","121","150","33","79","59","105"
"4",3,"Boston U. (Molecular Biology, Cell Biology, and Biochemistry - Graduate School of Arts &amp; Science)","125","154","92","148","132","153","61","113","102","146"
"5",4,"Bowling Green State U. (Biological Sciences)","138","155","149","157","3","42","33","80","113","149"
"6",5,"Brandeis U. (Biochemistry)","16","55","5","38","82","146","24","72","13","35"
"7",6,"Brandeis U. (Biophysics and Structural Biology)","21","71","11","47","92","147","83","131","9","29"
"8",7,"California Institute of Technology (Biochemistry and Molecular Biophysics)","1","15","1","19","2","42","112","143","10","20"
"9",8,"Case Western Reserve U. (Biochemistry)","37","107","43","127","107","151","83","126","39","74"
"10",9,"Case Western Reserve U. (Molecular Biology and Microbiology)","32","102","48","128","57","144","19","59","36","89"
"11",10,"City U. of New York Graduate Center (Biochemistry)","92","142","124","153","55","130","2","2","91","144"
"12",11,"Colorado State U. (Biochemistry)","56","127","39","117","43","116","42","95","74","127"
"13",12,"Columbia U. (Biochemistry and Molecular Biophysics)","5","34","3","31","92","145","131","153","10","19"
"14",13,"Cornell U. (Biochemistry, Molecular &amp; Cell Biology)","43","119","32","114","88","142","36","86","39","72"
"15",14,"Cornell U. (Weill Grad School of Medical Sci -Biochemistry &amp; Structural Biology)","38","112","22","91","42","129","39","82","35","83"
"16",15,"Cornell U. (Weill Grad School of Medical Sci - Molecular Bio)","7","41","4","33","26","133","29","79","13","28"
"17",16,"Drexel U. (Molecular Pathobiology)","53","133","46","126","1","64","13","42","74","135"
"18",17,"Duke U. (Biochemistry)","15","65","14","77","16","88","119","148","19","36"
"19",18,"George Washington U. (Biochemistry and Molecular Genetics)","55","129","67","140","4","66","18","62","55","117"
"20",19,"Georgetown U. (Biochemistry and Molecular Biology)","72","136","83","144","41","128","14","40","96","139"
