"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Auburn U. (Biological Sciences)",60,103,54,104,24,75,26,85,90,113
"2",1,"Auburn U. (Biomedical Sciences)",67,111,59,112,22,103,22,71,106,117
"3",2,"Baylor College of Medicine (Cardiovascular Sciences)",10,29,9,36,32,90,109,118,20,32
"4",3,"Baylor U. (Biomedical Studies)",87,112,63,104,83,117,77,109,71,97
"5",4,"Binghamton U. (SUNY) (Biochemistry, Cell Biology &amp; Molecular Biology)",47,92,44,104,4,26,52,105,70,97
"6",5,"Boston College (Biology/Integrated Biology/Integrated Biomedical Sciences)",65,106,48,101,54,102,31,84,56,82
"7",6,"Boston U. (Biology)",58,103,38,93,66,107,40,91,32,67
"8",7,"Brigham Young U. (Physiology and Developmental Biology)",19,65,33,94,1,92,92,117,54,94
"9",8,"California Institute of Technology (Biology)",1,5,1,3,27,80,56,101,1,8
"10",9,"City U. of New York Graduate Center (Biology)",55,100,41,99,106,117,3,10,30,63
"11",10,"Clark U. (Biology)",71,110,61,112,12,76,72,104,96,115
"12",11,"Clemson U. (Biological Sciences)",92,115,75,113,53,110,28,85,95,114
"13",12,"Cleveland State U. (Regulatory Biology)",61,104,59,106,17,88,12,25,83,107
"14",13,"Cold Spring Harbor Laboratory (Doctoral Program in the Biological Sciences)",3,17,6,28,2,16,71,105,12,24
"15",14,"Columbia U. (Biological Sciences)",11,32,5,29,97,117,39,87,12,23
"16",15,"Columbia U. (Integrated Program In Cellular, Molecular and Biophysical Studies)",4,21,2,13,98,119,86,110,5,17
"17",16,"Dartmouth College (Molecular &amp; Cellular Biology)",17,46,14,51,11,53,94,113,12,25
"18",17,"Drexel U. (Biological Sciences)",55,106,35,100,90,117,3,13,95,116
"19",18,"Duke U. (Biology)",11,30,12,43,17,72,37,93,9,20
"20",19,"Florida Institute of Technology (Biological Sciences)",60,105,58,112,3,24,119,119,51,88
"21",20,"Florida International U. (Biology)",44,89,38,98,39,101,19,53,35,67
"22",21,"Florida State U. (Biological Sciences)",78,113,52,102,74,115,59,101,59,91
"23",22,"Fordham U. (Biological Sciences)",95,116,72,112,101,118,33,94,89,113
"24",23,"Georgetown U. (Biology)",54,98,80,114,60,115,3,14,74,103
"25",24,"Georgia Institute of Technology (Biology)",19,53,13,51,40,96,32,86,40,73
"26",25,"Howard U. (Biology)",77,107,99,117,85,112,1,1,80,104
"27",26,"Illinois Institute of Technology (Biology)",50,92,19,55,91,115,34,88,75,104
