"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Arizona State U. (Chemical Engineering)",34,70,32,78,30,86,11,37,46,71
"2",1,"Auburn U. (Chemical Engineering)",80,103,67,99,26,84,66,92,70,95
"3",2,"Brown U. (ENGINEERING: Fluids, Thermal, and Chemical Processing)",26,67,35,83,8,83,40,74,41,74
"4",3,"California Institute of Technology (Chemical Engineering)",1,2,1,3,2,42,46,84,1,6
"5",4,"Carnegie Mellon U. (Chemical Engineering)",7,28,10,42,3,46,51,84,7,18
"6",5,"Case Western Reserve U. (Chemical Engineering)",45,81,40,82,70,100,88,103,32,54
"7",6,"City U. of New York Graduate Center (Chemical Engineering)",28,60,28,66,3,48,28,64,43,76
"8",7,"Clarkson U. (Chemical Engineering)",59,84,65,93,3,41,7,22,64,89
"9",8,"Clemson U. (Chemical Engineering)",46,85,34,84,25,85,72,98,48,78
"10",9,"Colorado State U. (Chemical and Biological Engineering)",72,100,57,96,8,70,76,100,55,86
"11",10,"Columbia U. (Chemical Engineering)",18,54,9,43,55,101,36,73,27,53
"12",11,"Cornell U. (Chemical Engineering)",11,40,9,45,4,50,42,75,17,34
"13",12,"Drexel U. (Chemical Engineering)",56,87,62,93,19,78,46,85,43,65
"14",13,"Georgia Institute of Technology (Chemical Engineering)",10,37,15,53,8,60,20,54,7,22
"15",14,"Illinois Institute of Technology (Chemical Engineering)",28,61,44,82,75,101,6,18,56,92
"16",15,"Iowa State U. (Chemical Engineering)",36,70,42,86,3,39,10,31,44,69
"17",16,"Johns Hopkins U. (Chemical &amp; Biomolecular Engineering)",16,44,11,38,6,66,55,86,14,30
"18",17,"Kansas State U. (Chemical Engineering)",56,86,78,101,2,41,14,44,71,95
"19",18,"Lehigh U. (Chemical Engineering)",17,54,13,45,22,83,77,99,14,34
"20",19,"Louisiana State U. at Baton Rouge (Chemical Engineering)",79,100,83,101,24,83,30,62,71,91
"21",20,"Massachusetts Institute of Technology (Chemical Engineering)",3,8,4,17,11,65,58,90,1,4
"22",21,"Michigan State U. (Chemical Engineering)",44,81,41,85,23,82,16,45,42,67
"23",22,"Michigan Technological U. (Chemical Engineering)",69,104,81,102,24,87,27,65,59,105
"24",23,"Mississippi State U. (Chemical Engineering (degree: Ph.D. in Engineering))",30,65,65,99,1,1,42,80,78,100
"25",24,"New Jersey Institute of Technology (Chemical Engineering)",78,102,58,94,54,95,13,38,78,100
"26",25,"New Mexico State U. at Las Cruces (Chemical Engineering)",106,106,104,106,104,105,105,106,102,106
"27",26,"North Carolina State U. (Chemical Engineering)",13,45,8,37,50,95,47,82,11,25
"28",27,"Northeastern U. (Chemical Engineering)",60,91,63,97,76,101,4,10,62,91
"29",28,"Northwestern U. (Chemical and Biological Engineering)",7,27,6,36,12,69,18,56,8,20
"30",29,"Ohio State U. Main Campus (Chemical Engineering)",18,53,17,56,61,94,41,82,17,40
"31",30,"Ohio U. Main Campus (Chemical and Biomolecular Engineering)",88,103,98,105,5,57,56,91,87,102
"32",31,"Oklahoma State U. Main Campus (Chemical Engineering)",90,104,95,106,21,77,54,90,79,98
