"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Arizona State U. (Chemistry)","31","86","19","87","35","132","57","115","27","71"
"2",1,"Auburn U. (Chemistry)","91","151","112","168","7","102","8","21","136","174"
"3",2,"Baylor U. (Chemistry and Biochemistry)","98","160","131","175","2","11","32","81","83","167"
"4",3,"Binghamton U. (SUNY) (Chemistry)","76","136","93","159","51","153","44","98","80","133"
"5",4,"Boston College (Chemistry)","28","83","17","69","62","159","134","169","20","58"
"6",5,"Boston U. (Chemistry)","113","159","117","164","92","165","62","121","65","124"
"7",6,"Bowling Green State U. (Photochemical Sciences)","91","146","130","169","3","36","37","96","118","172"
"8",7,"Brandeis U. (Chemistry)","13","46","11","46","16","98","8","26","31","86"
"9",8,"Brigham Young U. (Chemistry and Biochemistry)","62","119","75","148","3","53","130","168","66","144"
"10",9,"Brown U. (Chemistry)","34","101","39","128","15","94","51","112","33","84"
"11",10,"California Institute of Technology (Chemistry)","2","5","1","5","8","73","118","164","2","9"
"12",11,"Carnegie Mellon U. (Chemistry)","18","58","21","75","7","69","46","105","38","85"
"13",12,"Case Western Reserve U. (Chemistry)","27","75","45","123","33","119","48","100","52","120"
"14",13,"City U. of New York Graduate Center (Chemistry)","101","155","104","160","99","164","4","10","108","170"
"15",14,"Clark U. (Chemistry)","93","147","153","175","42","146","5","13","150","178"
"16",15,"Clemson U. (Chemistry)","52","128","32","116","17","101","60","114","47","112"
"17",16,"Cleveland State U. (Bio-analytical Chemistry)","101","165","58","137","170","176","64","118","114","170"
"18",17,"Colorado State U. (Chemistry)","67","141","24","101","67","151","92","150","91","153"
"19",18,"Columbia U. (Chemistry)","4","13","4","17","7","74","87","141","7","30"
"20",19,"Cornell U. (Chemistry and Chemical Biology)","15","52","15","75","8","73","82","140","12","41"
"21",20,"Dartmouth College (Chemistry)","68","133","78","155","4","69","93","150","65","131"
"22",21,"Drexel U. (Chemistry)","105","158","110","159","65","164","60","119","104","154"
"23",22,"Duke U. (Chemistry)","18","59","19","78","6","62","58","123","21","59"
"24",23,"Duquesne U. (Chemistry)","85","152","107","167","2","88","34","99","92","169"
"25",24,"Emory U. (Chemistry)","20","62","15","57","13","96","51","110","27","79"
"26",25,"Florida Atlantic U. (Chemistry)","80","153","103","172","12","86","14","42","104","173"
"27",26,"Florida Institute of Technology (Chemistry)","103","160","98","159","36","168","1","4","142","175"
"28",27,"Florida International U. (Chemistry)","15","61","31","116","1","1","5","15","67","161"
"29",28,"Florida State U. (Chemistry)","72","138","45","121","70","161","63","119","53","104"
"30",29,"George Washington U. (Chemistry)","81","160","31","127","86","159","90","151","75","137"
"31",30,"Georgetown U. (Chemistry)","86","148","91","157","115","170","8","25","76","143"
"32",31,"Georgia Institute of Technology (Chemistry)","9","29","8","32","32","122","38","88","11","38"
