"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Boston U. (Computer Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"2",1,"Case Western Reserve U. (Computer Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"3",2,"Clemson U. (Computer Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"4",3,"Florida Atlantic U. (Computer Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"5",4,"George Washington U. (Computer Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"6",5,"Iowa State U. (Computer Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"7",6,"Massachusetts Institute of Technology (Computer Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"8",7,"Mississippi State U. (Computer Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"9",8,"New Jersey Institute of Technology (Computer Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"10",9,"North Carolina State U. (Computer Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"11",10,"Northeastern U. (Electrical &amp; Computer Engineering - Electrical)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"12",11,"Rensselaer Polytechnic Institute (Computer and Systems Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"13",12,"U. of Alabama at Birmingham and at Huntsville (Computer Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"14",13,"U. of California at Santa Cruz (Computer Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"15",14,"U. of Idaho (Computer Science)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"16",15,"U. of Louisiana at Lafayette (Computer Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"17",16,"U. of Louisville (Computer Science &amp; Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"18",17,"U. of Missouri at Columbia (Computer Engineering &amp; Computer Science)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"19",18,"U. of Missouri at Rolla (Computer Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"20",19,"Virginia Tech (Computer Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
