"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Arizona State U. (Computer Science)","22","63","19","79","22","73","26","59","30","57"
"2",1,"Auburn U. (Computer Science &amp; Software Engineering)","57","104","51","115","8","89","1","4","67","106"
"3",2,"Binghamton U. (SUNY) (Computer Sciences)","74","113","34","95","121","125","29","71","74","106"
"4",3,"Boston U. (Computer Science)","14","51","12","74","19","80","66","109","46","91"
"5",4,"Brandeis U. (Computer Science)","92","116","89","118","52","102","32","72","58","90"
"6",5,"Brigham Young U. (Computer Science)","108","121","97","122","92","115","117","124","108","124"
"7",6,"Brown U. (Computer Science)","24","59","14","54","23","81","45","90","17","34"
"8",7,"California Institute of Technology (Computer Science)","26","67","23","81","13","62","30","64","51","88"
"9",8,"Carnegie Mellon U. (Computer Sciences)","3","16","7","48","11","54","61","101","3","10"
"10",9,"Case Western Reserve U. (Computing and Information Science)","62","107","42","106","114","124","30","70","82","112"
"11",10,"City U. of New York Graduate Center (Computer Science)","109","121","98","121","105","118","8","26","59","98"
"12",11,"Clemson U. (Computer Science)","93","117","95","120","14","94","107","122","99","121"
"13",12,"College of William and Mary (Computer Sciences)","102","117","117","125","30","85","18","46","75","106"
"14",13,"Columbia U. (Computer Science)","6","30","4","25","42","97","28","62","13","31"
"15",14,"Cornell U. (Computer Science)","4","21","4","27","4","34","75","114","5","12"
"16",15,"Dartmouth College (Computer Sciences)","9","38","29","90","4","33","52","99","53","90"
"17",16,"Duke U. (Computer Science)","9","36","4","25","37","90","31","76","14","27"
"18",17,"Florida Institute of Technology (Computer Science)","112","124","103","119","61","120","126","126","45","88"
"19",18,"Florida International U. (Computer Science)","56","101","28","94","94","110","1","4","62","100"
"20",19,"Florida State U. (Computer Sciences)","19","64","20","80","3","30","41","82","51","90"
"21",20,"George Washington U. (Computer Science)","101","120","84","119","97","117","6","22","84","109"
"22",21,"Georgia Institute of Technology (Computer Science)","14","57","16","75","27","84","36","72","7","28"
"23",22,"Georgia State U. (Computer Science)","18","57","43","101","1","4","3","10","43","78"
"24",23,"Harvard U. (DEAS-Computer Sciences)","3","19","2","10","15","77","109","123","6","22"
"25",24,"Illinois Institute of Technology (Computer Science)","74","109","60","108","38","85","40","79","65","99"
"26",25,"Indiana U. at Bloomington (Computer Science)","68","100","80","115","41","89","28","65","38","65"
"27",26,"Iowa State U. (Computer Science)","44","83","36","93","24","88","19","50","47","82"
"28",27,"Johns Hopkins U. (Computer Science)","57","94","38","88","27","81","69","107","54","88"
"29",28,"Kansas State U. (Computer Science)","65","106","44","102","24","89","24","65","102","120"
"30",29,"Kent State U. Main Campus (Computer Science)","84","108","82","113","72","101","62","105","59","92"
"31",30,"Lehigh U. (Computer Science &amp; Engineering)","62","102","65","113","93","117","7","27","42","75"
"32",31,"Louisiana State U. at Baton Rouge (Computer Science)","13","49","14","66","23","82","6","22","19","39"
"33",32,"Massachusetts Institute of Technology (Computer Science)","2","12","3","14","5","35","78","111","2","5"
"34",33,"Michigan State U. (Computer Science)","10","45","21","79","9","48","39","84","12","32"
