"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Arizona State U. (Geological Sciences)","29","77","14","61","38","94","82","116","36","66"
"2",1,"Binghamton U. (SUNY) (Geological Sciences)","121","136","105","134","114","137","60","103","95","124"
"3",2,"Boston U. (Earth Sciences)","19","58","15","65","10","98","7","32","62","101"
"4",3,"Brown U. (Geological Sciences)","23","67","18","70","24","84","34","76","17","41"
"5",4,"California Institute of Technology (Environmental Science and Engineering)","1","3","1","4","15","82","6","30","6","22"
"6",5,"California Institute of Technology (Geochemistry)","7","33","5","27","7","98","51","103","10","48"
"7",6,"California Institute of Technology (Geology)","6","26","4","22","9","111","81","121","1","3"
"8",7,"California Institute of Technology (Geophysics)","3","18","2","20","20","92","33","75","3","10"
"9",8,"California Institute of Technology (Planetary Science)","6","26","5","28","8","86","113","130","2","5"
"10",9,"City U. of New York Graduate Center (Earth and Environmental Sciences)","106","131","103","137","115","130","9","29","85","124"
"11",10,"Colorado State U. (Earth Sciences)","111","132","103","134","92","124","60","103","96","131"
"12",11,"Columbia U. (Earth and Environmental Sciences)","1","10","2","18","38","97","16","46","1","4"
"13",12,"Cornell U. (Geological Sciences)","35","83","27","73","91","121","38","77","39","69"
"14",13,"Dartmouth College (Earth Sciences)","49","95","46","108","24","98","41","78","31","63"
"15",14,"Duke U. (Environment)","21","48","38","87","8","51","7","28","15","32"
"16",15,"Duke U. (Earth and Ocean Sciences)","29","83","28","94","8","98","77","114","38","75"
"17",16,"Florida International U. (Earth Sciences)","66","105","61","117","23","96","2","13","58","113"
"18",17,"Georgia Institute of Technology (Earth &amp; Atmospheric Sciences)","15","48","8","46","63","112","15","41","28","65"
"19",18,"Harvard U. (Earth &amp; Planetary Sciences)","2","10","4","24","34","93","51","95","2","5"
"20",19,"Indiana U. at Bloomington (Environmental Science)","63","109","73","129","7","67","11","31","91","126"
"21",20,"Indiana U. at Bloomington (Geological Sciences)","33","78","53","115","6","60","26","54","39","78"
"22",21,"Iowa State U. (Environmental Science)","77","120","67","124","18","95","38","79","87","124"
"23",22,"Iowa State U. (Soil Science)","73","113","36","87","119","132","75","106","14","42"
"24",23,"Johns Hopkins U. (Earth And Planetary Sciences)","43","87","38","94","62","110","90","124","34","63"
"25",24,"Kent State U. Main Campus (Applied Geology)","129","140","114","139","62","127","89","124","135","140"
"26",25,"Lehigh U. (Earth and Environmental Sciences)","47","103","35","93","34","111","105","127","56","124"
"27",26,"Louisiana State U. at Baton Rouge (Geology)","64","114","43","115","44","114","6","25","78","120"
"28",27,"Massachusetts Institute of Technology (Geology and Geochemistry and Geophysics)","10","35","6","35","27","87","101","125","7","25"
"29",28,"Miami U. (Ohio) (Geology)","57","114","44","115","15","105","30","70","102","131"
"30",29,"Michigan State U. (Geological Sciences)","46","100","81","130","2","30","28","67","27","86"
"31",30,"Michigan Technological U. (Geology)","118","137","106","137","102","135","1","8","123","138"
"32",31,"Montana State U. at Bozeman (Land Resources)","57","114","43","116","7","102","61","105","81","131"
"33",32,"New Jersey Institute of Technology (Environmental Science)","39","97","38","111","15","76","1","10","127","138"
"34",33,"North Carolina State U. (Soil Science)","96","132","71","131","114","132","35","71","89","126"
"35",34,"Northern Illinois U. (Geology)","103","131","106","137","14","86","57","101","111","130"
"36",35,"Northwestern U. (Earth And Planetary Sciences)","36","81","31","83","14","77","25","55","36","75"
"37",36,"Ohio State U. Main Campus (Environmental Science)","91","123","70","126","90","120","13","38","117","136"
"38",37,"Ohio State U. Main Campus (Geodetic Science and Surveying)","89","125","74","129","119","136","61","104","77","122"
"39",38,"Ohio State U. Main Campus (Geological Sciences)","74","117","57","119","36","118","70","104","68","113"
"40",39,"Ohio State U. Main Campus (Soil Science)","74","115","44","97","21","101","45","89","84","133"
"41",40,"Oklahoma State U. Main Campus (Environmental Sciences)","118","137","117","139","117","130","89","117","115","133"
"42",41,"Oklahoma State U. Main Campus (Soil Science)","110","131","130","140","57","99","107","126","129","138"
"43",42,"Oregon Health and Science U. (Environmental Science and Engineering)","20","72","23","87","4","82","10","36","32","75"
"44",43,"Oregon State U. (Soil Science)","32","80","43","104","21","105","6","27","59","100"
"45",44,"Oregon State U. (Geology)","34","87","27","94","4","77","115","129","25","55"
"46",45,"Pennsylvania State U. (Geosciences)","9","31","11","43","30","86","67","107","7","20"
"47",46,"Pennsylvania State U. (Soil Science)","32","89","59","118","6","52","1","4","33","127"
"48",47,"Princeton U. (Geosciences)","4","20","3","22","6","53","11","31","14","35"
"49",48,"Purdue U. Main Campus (Agronomy- Soils)","11","39","29","94","2","24","6","22","15","58"
"50",49,"Purdue U. Main Campus (Earth Science)","45","97","51","116","11","78","72","106","31","66"
"51",50,"Rensselaer Polytechnic Institute (Geology)","13","46","13","45","15","96","3","25","15","74"
"52",51,"Rice U. (Earth Science)","22","70","21","77","14","86","74","107","55","92"
"53",52,"Rutgers U. at New Brunswick (Environmental Sciences)","36","87","28","84","71","113","22","49","50","90"
"54",53,"Rutgers U. at New Brunswick (Geological Sciences)","72","111","47","101","66","113","77","116","45","75"
"55",54,"Stanford U. (Geological and Environmental Sciences)","3","16","4","27","28","86","47","94","4","12"
"56",55,"Stanford U. (Geophysics)","5","25","7","33","80","117","33","63","7","21"
"57",56,"State U. of New York at Albany (Geology)","63","116","49","122","4","44","139","140","69","112"
"58",57,"State U. of New York at Stony Brook (Geosciences)","24","68","11","52","63","109","66","104","48","79"
"59",58,"Syracuse U. Main Campus (Geology)","39","100","30","100","30","116","27","63","78","121"
"60",59,"Texas A&M U. (Geology &amp; Geophysics)","131","140","103","135","132","139","27","55","24","97"
"61",60,"Texas A&M U. (Soil Science)","116","138","73","130","91","126","99","124","129","139"
"62",61,"U. at Buffalo (SUNY) (Geological Sciences)","60","108","50","123","89","125","26","56","59","96"
"63",62,"U. of Alabama (Geology)","85","124","87","134","5","59","79","114","99","128"
"64",63,"U. of Alaska at Fairbanks (Geology)","90","124","61","122","109","128","22","55","76","122"
"65",64,"U. of Alaska at Fairbanks (Geophysics)","58","112","27","91","117","138","60","104","47","103"
"66",65,"U. of Arizona (Geosciences)","7","33","11","50","17","71","60","99","8","21"
"67",66,"U. of Arizona (Hydrology)","11","40","24","77","6","52","74","110","27","67"
"68",67,"U. of Arizona (Soil Water &amp; Environmental Science)","49","100","50","111","114","134","8","28","17","49"
