"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"California Institute of Technology (Control and Dynamical Systems)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"2",1,"Dartmouth College (Engineering Science)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"3",2,"Iowa State U. (Engineering Mechanics)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"4",3,"Pennsylvania State U. (Engineering Science and Mechanics)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"5",4,"Rensselaer Polytechnic Institute (Engineering Science)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"6",5,"Stevens Institute of Technology (Engineering Management)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"7",6,"Texas A&M U. (Interdisciplinary Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"8",7,"Texas A&M U. (Doctor of Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"9",8,"U. of Missouri at Kansas City (Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"10",9,"U. of Nebraska at Lincoln (Engineering Mechanics)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"11",10,"U. of New Hampshire (Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"12",11,"U. of New Orleans (Engineering and Applied Science-Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"13",12,"U. of Texas at Austin (Engineering Mechanics)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"14",13,"Virginia Tech (Engineering Mechanics)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
