"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Auburn U. (Forestry)","28","33","24","33","15","31","5","14","24","32"
"2",1,"Clemson U. (Forest Resources)","12","29","11","32","1","18","16","26","15","28"
"3",2,"Colorado State U. (Forest, Rangeland, and Watershed Stewardship)","20","31","5","25","31","32","5","14","22","33"
"4",3,"Iowa State U. (Forestry)","32","33","16","33","33","33","12","22","13","33"
"5",4,"Louisiana State U. at Baton Rouge (Forestry)","9","26","8","30","15","30","4","12","10","25"
"6",5,"Michigan State U. (Forestry)","7","22","6","25","13","27","8","18","11","30"
"7",6,"Michigan Technological U. (Forest Science)","2","10","2","14","2","15","5","14","7","23"
"8",7,"Michigan Technological U. (Forest Molecular Genetics and Biotechnology)","1","3","2","6","1","13","2","4","5","29"
"9",8,"Mississippi State U. (Forest Products (degree: Ph.D. in Forest Resources))","21","32","15","33","16","29","8","16","15","32"
"10",9,"Mississippi State U. (Forestry (degree: Ph.D. in Forest Resources))","25","32","16","33","9","30","31","33","22","33"
"11",10,"North Carolina State U. (Forestry)","12","28","10","30","23","32","11","22","5","16"
"12",11,"North Carolina State U. (Wood and Paper Science)","10","27","9","31","2","27","9","25","7","23"
"13",12,"Oregon State U. (Forest Engineering)","7","26","10","32","2","11","32","33","13","28"
"14",13,"Oregon State U. (Forest Science)","2","11","2","14","8","26","19","28","3","15"
"15",14,"Oregon State U. (Forest Resources)","8","26","8","30","2","17","15","25","12","27"
"16",15,"Oregon State U. (Wood Science)","7","24","2","19","13","27","19","29","5","21"
"17",16,"Pennsylvania State U. (Forest Resources)","5","23","6","29","1","10","28","32","5","19"
"18",17,"Pennsylvania State U. (Wildlife and Fisheries Science)","8","28","3","25","21","31","26","31","13","30"
"19",18,"Purdue U. Main Campus (Forestry &amp; Natural Resources)","4","17","10","31","10","28","2","3","4","17"
"20",19,"Texas A&M U. (Forestry)","6","25","3","24","5","27","1","1","16","33"
"21",20,"Texas A&M U. (Rangeland Ecology and Management)","15","30","5","27","15","30","8","19","8","30"
"22",21,"U. of Florida (Forest Resources and Conservation)","22","32","12","31","13","30","3","5","13","26"
"23",22,"U. of Georgia (Forest Resources)","4","21","3","23","21","31","20","28","3","12"
"24",23,"U. of Idaho (Forest Resources)","5","23","4","25","9","24","5","13","10","30"
"25",24,"U. of Massachusetts at Amherst (Forest Resources)","14","28","23","33","7","29","29","32","8","26"
"26",25,"U. of Minnesota-Twin Cities (Natural Resource Science and Management)","4","16","7","29","1","14","13","22","2","11"
"27",26,"U. of Missouri at Columbia (Forestry)","13","30","4","28","2","24","14","24","18","33"
"28",27,"U. of Montana at Missoula (Forestry)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"29",28,"U. of Tennessee (Natural Resources)","21","32","15","33","7","27","23","30","19","32"
"30",29,"U. of Washington (Forest Resources)","4","18","7","27","10","26","9","17","1","5"
"31",30,"U. of Wisconsin at Madison (Forestry)","1","2","1","1","11","28","15","26","1","6"
"32",31,"Virginia Tech (Forest Products)","11","28","7","31","1","13","15","28","6","27"
"33",32,"Virginia Tech (Forestry)","3","18","4","27","1","10","23","29","3","13"
"34",33,"Yale U. (Forestry &amp; Environmental Studies)","3","9","5","21","4","17","4","10","1","6"
