"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Columbia U. (Germanic Languages)","3","15","2","6","22","29","9","20","4","21"
"2",1,"Cornell U. (Germanic Studies)","19","26","23","27","1","17","14","26","2","12"
"3",2,"Duke U. (German Studies)","2","10","7","14","1","21","6","15","8","23"
"4",3,"Georgetown U. (German)","6","19","13","24","3","17","3","9","15","26"
"5",4,"Harvard U. (Germanic Lang. &amp; Lit.)","4","18","16","25","1","15","14","26","1","10"
"6",5,"Indiana U. at Bloomington (Germanic Studies)","1","6","5","11","1","21","10","23","3","24"
"7",6,"Johns Hopkins U. (German)","8","22","14","24","3","21","4","12","14","25"
"8",7,"Kent State U. Main Campus (History)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"9",8,"New York U. (German)","4","19","2","5","8","21","15","26","6","23"
"10",9,"Ohio State U. Main Campus (Germanic Languages and Literatures)","4","19","10","20","1","15","3","10","6","22"
"11",10,"Pennsylvania State U. (German)","5","18","7","15","14","26","5","15","21","27"
"12",11,"Princeton U. (German)","16","25","12","22","11","26","11","25","2","13"
"13",12,"Stanford U. (German Studies)","5","20","5","11","2","19","12","26","9","23"
"14",13,"U. of California at Berkeley (German)","2","10","2","6","3","19","25","29","1","5"
"15",14,"U. of California at Los Angeles (Germanic Languages)","7","21","11","21","2","16","16","26","7","22"
"16",15,"U. of Chicago (Germanic Studies)","1","2","1","1","10","28","26","29","1","12"
"17",16,"U. of Houston main campus (History)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"18",17,"U. of Illinois at Chicago (Germanic Studies)","26","29","29","29","20","28","1","2","28","29"
"19",18,"U. of Illinois at Urbana-Champaign (German)","25","29","21","26","27","29","3","6","15","26"
"20",19,"U. of Kansas (Germanic Languages and Literatures)","27","29","27","28","12","23","6","16","26","28"
"21",20,"U. of Maryland at College Park (Germanic Language &amp; Literature)","11","24","18","26","4","24","1","2","27","29"
"22",21,"U. of Massachusetts at Amherst (German)","19","26","26","28","19","27","5","14","17","26"
"23",22,"U. of Michigan at Ann Arbor (Germanic Languages and Literatures)","7","21","10","19","1","16","14","26","9","22"
"24",23,"U. of Minnesota-Twin Cities (Germanic Studies)","2","11","2","7","2","18","9","22","1","8"
"25",24,"U. of North Carolina at Chapel Hill (Germanic Languages and Literatures)","7","20","5","10","10","23","28","29","5","16"
"26",25,"U. of Texas at Austin (Germanic Studies)","8","21","17","25","8","24","12","26","7","22"
"27",26,"U. of Virginia (German Language &amp; Literature)","21","28","11","20","21","28","12","25","12","25"
"28",27,"U. of Washington (Germanics)","18","26","13","23","11","25","9","21","15","26"
"29",28,"U. of Wisconsin at Madison (German)","20","26","12","24","20","28","15","26","2","16"
"30",29,"Washington U. in St. Louis (Germanic Languages and Literature)","9","23","6","14","4","18","11","25","2","16"
"31",30,"Yale U. (Germanic Languages &amp; Literatures)","7","20","12","23","3","15","3","9","9","21"
