"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Arizona State U. (Materials Science and Engineering)","8","37","8","46","13","50","37","60","11","28"
"2",1,"Auburn U. (Integrated Textile and Apparel Science)","65","80","68","82","9","57","2","9","54","72"
"3",2,"Auburn U. (Materials Engineering)","47","74","32","74","24","58","11","22","69","80"
"4",3,"Brown U. (ENGINEERING: Materials Science)","11","42","8","50","35","77","6","14","33","60"
"5",4,"California Institute of Technology (Materials Science)","2","3","2","2","4","36","34","59","3","9"
"6",5,"Carnegie Mellon U. (Materials Science &amp; Engineering)","8","36","7","44","4","26","38","66","12","24"
"7",6,"Case Western Reserve U. (Macromolecular Science and Engineering)","30","60","17","53","11","49","41","66","22","43"
"8",7,"Case Western Reserve U. (Materials Science and Engineering)","67","80","65","79","51","77","55","73","34","57"
"9",8,"Clemson U. (Materials Science &amp; Engineering)","52","76","43","78","60","80","6","16","57","73"
"10",9,"Clemson U. (Polymer and Fiber Science)","62","80","50","78","60","81","24","49","54","74"
"11",10,"Columbia U. (Materials Science and Engineering)","35","64","34","67","42","79","6","14","22","40"
"12",11,"Cornell U. (Materials Science and Engineering)","33","63","23","60","23","57","33","58","23","38"
"13",12,"Drexel U. (Materials Science and Engineering)","6","29","7","43","10","52","50","69","24","44"
"14",13,"Georgia Institute of Technology (Materials Science &amp; Engineering)","11","43","6","42","21","54","50","68","12","25"
"15",14,"Georgia Institute of Technology (Textile Engineering)","26","59","29","69","10","54","2","7","41","69"
"16",15,"Indiana U.-Purdue U. Indianapolis (Dental Science)","31","59","51","75","2","12","1","1","40","79"
"17",16,"Iowa State U. (Materials Science &amp; Engineering)","33","65","17","64","48","77","34","63","37","62"
"18",17,"Johns Hopkins U. (Materials Science &amp; Engineering)","7","39","4","34","8","41","25","52","12","28"
"19",18,"Lehigh U. (Materials Science and Engineering)","72","82","22","63","83","83","79","82","31","54"
"20",19,"Massachusetts Institute of Technology (Material Sciences and Engineering)","3","12","3","22","32","64","28","52","2","3"
"21",20,"Michigan State U. (Materials Science and Engineering)","14","49","21","64","2","25","24","41","25","42"
"22",21,"Michigan Technological U. (Materials Science and Engineering)","72","81","79","83","37","70","53","72","48","68"
"23",22,"New Jersey Institute of Technology (Materials Science and Engineering)","52","77","32","75","54","77","26","50","73","81"
"24",23,"North Carolina State U. (Materials Science and Engineering)","38","68","27","68","57","77","72","78","23","44"
"25",24,"Northwestern U. (Materials Science and Engineering)","3","15","4","32","5","33","40","64","3","9"
"26",25,"Ohio State U. Main Campus (Materials Science and Engineering)","25","56","32","69","13","50","60","75","15","33"
"27",26,"Pennsylvania State U. (Materials Science and Engineering)","6","28","10","47","26","57","29","55","3","8"
