"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Arizona State U. (Mathematics)",22,54,24,59,35,89,24,51,40,70
"2",1,"Auburn U. (Mathematics)",118,125,115,124,42,93,15,44,120,126
"3",2,"Baylor U. (Mathematics)",56,82,61,78,1,19,119,123,68,116
"4",3,"Binghamton U. (SUNY) (Mathematical Science)",64,89,85,109,3,27,16,41,74,104
"5",4,"Boston U. (Mathematics)",13,34,15,43,14,66,14,38,24,53
"6",5,"Bowling Green State U. (Mathematics)",61,90,85,111,1,31,7,23,87,114
"7",6,"Brandeis U. (Mathematics)",21,57,16,54,19,75,29,72,16,42
"8",7,"Brown U. (Mathematics)",9,27,12,44,7,39,7,24,10,37
"9",8,"California Institute of Technology (Mathematics)",5,20,4,22,23,91,18,54,9,32
"10",9,"Carnegie Mellon U. (Mathematical Sciences)",19,48,26,59,5,41,61,95,27,54
"11",10,"City U. of New York Graduate Center (Mathematics)",100,120,71,96,121,126,101,115,57,95
"12",11,"Claremont Graduate U. (Mathematics)",88,111,79,108,126,127,106,117,80,116
"13",12,"Clemson U. (Mathematical Sciences)",84,105,76,107,47,98,60,89,58,86
"14",13,"Colorado State U. (Mathematics)",111,125,100,121,86,121,40,76,85,120
"15",14,"Columbia U. (Mathematics)",5,17,4,22,32,91,27,61,9,25
"16",15,"Cornell U. (Mathematics)",15,42,21,55,7,43,87,109,12,37
"17",16,"Dartmouth College (Mathematics)",65,90,80,107,7,51,90,108,78,108
"18",17,"Duke U. (Mathematics)",13,38,19,57,6,45,108,118,14,47
"19",18,"Emory U. (Mathematics)",53,84,58,83,6,66,19,52,71,104
"20",19,"Florida State U. (Mathematics)",50,88,30,72,86,117,23,57,50,82
"21",20,"George Washington U. (Mathematics)",96,116,99,119,39,107,14,38,99,120
"22",21,"Georgia Institute of Technology (Math)",27,60,18,52,62,105,51,91,24,52
"23",22,"Harvard U. (Mathematics)",1,4,3,9,1,14,26,67,2,5
"24",23,"Howard U. (Mathematics)",66,94,99,122,74,119,4,10,112,127
"25",24,"Indiana U. at Bloomington (Mathematics)",12,32,16,45,22,84,42,80,14,39
"26",25,"Indiana U.-Purdue U. Indianapolis (Mathematics)",90,113,81,108,38,108,113,120,72,110
"27",26,"Iowa State U. (Mathematics)",69,96,81,114,3,43,35,70,70,99
"28",27,"Johns Hopkins U. (Mathematics)",56,83,53,79,39,97,66,96,39,63
"29",28,"Kansas State U. (Mathematics)",85,108,102,121,3,71,23,67,65,96
"30",29,"Kent State U. Main Campus (Pure Mathematics)",62,89,70,100,16,63,46,82,57,90
"31",30,"Lehigh U. (Mathematics)",105,122,122,125,24,79,80,105,101,125
"32",31,"Louisiana State U. at Baton Rouge (Mathematics)",55,87,62,95,26,84,25,59,51,79
"33",32,"Massachusetts Institute of Technology (Mathematics)",4,11,4,19,13,57,39,78,5,11
"34",33,"Michigan State U. (Mathematics)",24,52,20,51,87,117,8,28,11,43
"35",34,"Michigan Technological U. (Mathematical Sciences)",58,88,68,98,72,120,1,8,66,105
"36",35,"Mississippi State U. (Mathematical Sciences)",110,126,82,106,120,127,1,7,87,126
"37",36,"Montana State U. at Bozeman (Mathematics)",101,120,97,116,33,101,107,118,106,125
"38",37,"New Mexico State U. at Las Cruces (Mathematical Sciences)",61,90,73,102,80,118,3,10,73,115
"39",38,"New York U. (Mathematics)",1,4,1,2,15,89,50,93,2,6
"40",39,"North Carolina State U. (Mathematics)",41,73,34,73,20,77,95,112,50,75
"41",40,"Northeastern U. (Mathematics)",58,87,54,81,19,80,124,127,44,69
"42",41,"Northern Illinois U. (Mathematical Sciences)",118,126,114,123,42,102,57,87,115,126
"43",42,"Northwestern U. (Mathematics)",39,74,34,70,12,66,55,89,29,57
"44",43,"Ohio State U. Main Campus (Mathematics)",52,82,42,73,90,119,32,75,18,46
"45",44,"Ohio U. Main Campus (Mathematics)",105,121,116,124,63,110,84,109,108,125
"46",45,"Oregon State U. (Mathematics)",99,120,78,105,120,126,88,106,81,111
"47",46,"Pennsylvania State U. (Mathematics)",5,16,5,26,32,86,10,33,5,16
"48",47,"Princeton U. (Mathematics)",1,3,1,3,3,25,39,78,1,4
"49",48,"Purdue U. Main Campus (Mathematics)",26,59,22,55,105,122,8,25,12,42
"50",49,"Rensselaer Polytechnic Institute (Mathematics)",20,57,21,57,26,103,14,39,26,67
"51",50,"Rice U. (Mathematics)",55,84,55,84,42,92,92,111,32,57
"52",51,"Rutgers U. at New Brunswick (Mathematics)",14,41,10,30,36,96,55,89,12,36
"53",52,"Southern Illinois U. at Carbondale (Mathematics)",105,122,115,124,62,110,5,23,109,122
"54",53,"Stanford U. (Mathematics)",3,9,3,12,5,36,36,79,4,9
"55",54,"State U. of New York at Albany (Mathematics)",100,118,106,120,67,114,117,122,101,124
"56",55,"State U. of New York at Stony Brook (Mathematics)",24,63,19,59,52,102,41,86,13,42
"57",56,"Stevens Institute of Technology (Mathematics)",89,113,110,124,14,90,33,68,113,125
"58",57,"Syracuse U. Main Campus (Mathematics)",34,78,33,79,9,61,55,89,50,81
"59",58,"Temple U. (Mathematics)",67,95,77,107,3,42,16,45,83,114
"60",59,"Texas A&M U. (Mathematics)",19,55,12,45,79,111,25,65,12,41
