"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Arizona State U. (Mechanical Engineering)","18","52","18","57","11","60","14","32","44","92"
"2",1,"Auburn U. (Mechanical Engineering)","86","115","83","121","12","61","40","100","94","119"
"3",2,"Binghamton U. (SUNY) (Mechanical Engineering)","59","99","47","102","93","118","53","102","72","106"
"4",3,"Boston U. (Manufacturing &amp; Mechanical Engineering)","58","99","36","86","81","110","42","98","57","100"
"5",4,"Brigham Young U. (Mechanical Engineering)","61","107","34","97","83","116","114","123","103","124"
"6",5,"Brown U. (ENGINEERING: Solid Mechanics)","1","3","1","1","12","71","44","97","6","31"
"7",6,"California Institute of Technology (Applied Mechanics)","1","5","2","16","2","10","2","9","44","110"
"8",7,"California Institute of Technology (Mechanical Engineering)","8","19","10","29","4","28","16","40","18","52"
"9",8,"Carnegie Mellon U. (Mechanical Engineering)","12","40","22","71","8","34","57","102","19","51"
"10",9,"Case Western Reserve U. (Mechanical Engineering)","30","72","19","64","69","96","74","110","19","77"
"11",10,"Catholic U. of America (Mechanical Engineering)","114","126","47","116","125","127","127","127","57","119"
"12",11,"City U. of New York Graduate Center (Mechanical Engineering)","91","114","79","118","23","71","2","10","87","117"
"13",12,"Clarkson U. (Mechanical Engineering)","57","105","30","100","75","102","99","121","95","121"
"14",13,"Clemson U. (Mechanical Engineering)","76","107","62","110","36","86","13","32","99","122"
"15",14,"Cleveland State U. (Engineering (Other))","122","126","110","127","119","125","57","103","112","126"
"16",15,"Colorado State U. (Mechanical Engineering)","119","125","122","127","84","102","119","123","27","59"
"17",16,"Columbia U. (Mechanical Engineering)","14","38","5","24","87","116","67","113","18","79"
"18",17,"Cornell U. (Mechanical Engineering)","11","34","5","30","58","94","44","90","12","39"
"19",18,"Drexel U. (Mechanical Engineering)","29","62","35","91","11","52","36","74","20","53"
"20",19,"Duke U. (Mechanical Engineering and Materials Science)","14","39","12","43","14","42","30","74","10","34"
"21",20,"Florida Atlantic U. (Mechanical Engineering)","127","127","103","123","122","127","81","113","114","127"
"22",21,"Florida Atlantic U. (Ocean Engineering)","63","111","46","115","42","88","6","17","104","124"
"23",22,"Florida International U. (Mechanical Engineering)","34","70","37","96","4","20","1","1","49","95"
"24",23,"Florida State U. (Mechanical Engineering)","18","52","17","66","4","26","7","20","36","91"
"25",24,"George Washington U. (Mechanical Engineering)","110","124","69","112","122","126","18","41","81","113"
