"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Baylor College of Medicine (Molecular Virology &amp; Microbiology)",3,22,2,24,9,46,7,20,15,32
"2",1,"Boston U. (Microbiology)",43,70,26,61,72,74,22,58,50,67
"3",2,"Case Western Reserve U. (Molecular Virology)",1,10,1,17,1,8,74,74,10,37
"4",3,"Catholic U. of America (Cellular and Microbial Biology)",67,73,68,73,39,72,8,22,60,74
"5",4,"Clemson U. (Microbiology)",57,71,56,71,16,60,37,66,57,71
"6",5,"Colorado State U. (Microbiology, Immunology, and Pathology)",52,70,47,69,18,48,17,48,38,60
"7",6,"Columbia U. (Microbiology)",3,24,2,20,39,68,17,52,4,24
"8",7,"Cornell U. (Microbiology)",14,45,8,51,29,60,47,68,22,39
"9",8,"Duke U. (Molecular Genetics and Microbiology)",5,25,3,25,10,56,52,70,8,29
"10",9,"Emory U. (Microbiology and Molecular Genetics (MMG))",7,32,6,32,3,28,26,58,13,32
"11",10,"Georgetown U. (Microbiology and Immunology)",34,64,31,63,59,72,11,32,44,65
"12",11,"Georgia State U. (Biology-Applied &amp; Environmental Microbiology)",67,73,61,73,9,51,8,22,69,74
"13",12,"Harvard U. (DMS-Virology)",1,10,1,13,16,53,36,65,1,4
"14",13,"Howard U. (Microbiology)",58,71,68,73,3,53,1,1,54,73
"15",14,"Indiana U. at Bloomington (Microbiology)",25,52,43,67,1,16,23,52,31,50
"16",15,"Iowa State U. (Microbiology)",31,65,20,60,6,57,65,72,36,57
"17",16,"Iowa State U. (Veterinary Microbiology)",30,63,33,67,31,62,38,64,40,69
"18",17,"Loma Linda U. (Microbiology and Molecular Genetics)",40,64,63,73,7,45,2,6,56,71
"19",18,"Loyola U. Chicago (Microbiology and Immunology)",20,50,22,60,7,50,15,43,43,65
"20",19,"Miami U. (Ohio) (Microbiology)",69,73,70,74,2,25,16,50,58,70
"21",20,"Michigan State U. (Microbiology &amp; Molecular Genetics)",33,58,40,65,30,61,15,38,35,53
"22",21,"Montana State U. at Bozeman (Microbiology)",27,61,19,58,49,71,7,25,45,67
"23",22,"New York U. (Microbiology/ Sackler)",4,24,3,29,3,18,37,62,6,25
"24",23,"North Carolina State U. (Microbiology)",53,70,56,72,5,35,51,70,52,67
"25",24,"Ohio State U. Main Campus (Microbiology)",50,68,41,65,51,71,30,59,35,54
"26",25,"Oregon State U. (Microbiology)",37,63,38,67,2,20,49,71,41,58
"27",26,"Pennsylvania State U. (Microbiology and Immunology)",17,47,19,57,2,34,54,71,26,44
"28",27,"Rutgers U. at New Brunswick and U. of Medicine and Dentistry of New Jersey at Piscataway (Microbiology and Molecular Genetics)",17,45,12,47,32,63,11,31,2,18
"29",28,"Stanford U. (Microbiology and Immunology)",1,4,1,6,24,64,21,53,1,6
"30",29,"State U. of New York at Stony Brook (Molecular Genetics and Microbiology)",22,48,18,48,7,38,16,43,21,40
