"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Arizona State U. (Industrial Engineering)","5","21","3","19","28","47","14","36","19","46"
"2",1,"Auburn U. (Industrial &amp; Systems Engineering)","22","45","13","44","10","39","40","63","27","56"
"3",2,"Binghamton U. (SUNY) (Systems Science)","59","67","53","66","42","64","21","45","58","71"
"4",3,"Boston U. (Systems Engineering)","24","44","18","43","30","57","51","67","38","65"
"5",4,"Carnegie Mellon U. (Engineering &amp; Public Policy)","6","26","5","26","15","38","28","55","15","42"
"6",5,"Carnegie Mellon U. (Tepper School of Business-Operations Research, Information Systems and Manufacturing &amp; Operating Systems)","7","21","6","18","8","29","35","59","8","30"
"7",6,"Case Western Reserve U. (Operations Research)","55","63","68","70","9","41","22","52","26","55"
"8",7,"Case Western Reserve U. (Systems and Control Engineering)","45","60","28","56","62","68","62","72","14","48"
"9",8,"Clemson U. (Industrial Engineering)","43","57","44","61","14","35","12","39","47","65"
"10",9,"Columbia U. (Operations Research)","9","27","5","23","34","57","36","57","18","46"
"11",10,"Cornell U. (Operations Research)","3","11","4","18","2","5","35","59","3","11"
"12",11,"Florida Institute of Technology (Operations Research)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"13",12,"George Washington U. (Systems Engineering)","68","72","66","70","69","72","66","72","31","70"
"14",13,"Georgia Institute of Technology (Industrial Engineering)","2","6","5","22","11","28","9","29","2","2"
"15",14,"Iowa State U. (Industrial Engineering)","30","49","39","60","27","56","3","10","21","50"
"16",15,"Kansas State U. (Industrial &amp; Manufacturing Engineering)","36","56","21","52","14","47","8","24","54","69"
"17",16,"Lehigh U. (Industrial and Systems Engineering)","32","52","26","56","33","56","33","59","11","31"
"18",17,"Massachusetts Institute of Technology (Operations Research)","1","2","1","2","4","13","29","53","7","34"
"19",18,"Montana State U. at Bozeman (Engineering)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"20",19,"New Jersey Institute of Technology (Transportation)","36","58","17","52","45","67","22","48","58","72"
"21",20,"New Mexico State U. at Las Cruces (Industrial Engineering)","68","72","71","72","47","67","6","21","39","66"
"22",21,"North Carolina State U. (Industrial Engineering)","24","47","16","46","10","54","16","41","12","36"
"23",22,"North Carolina State U. (Operations Research)","32","50","24","48","13","40","3","9","35","64"
"24",23,"Northeastern U. (Mechanical &amp; Industrial Engineering - Mechanical)","27","46","16","37","19","47","34","55","21","47"
"25",24,"Northwestern U. (Industrial Engineering and Management Sciences)","2","9","3","17","4","18","15","40","6","17"
"26",25,"Ohio State U. Main Campus (Industrial and Systems Engineering)","14","36","5","23","65","69","38","57","4","19"
"27",26,"Oklahoma State U. Main Campus (Industrial Engineering &amp; Management)","31","50","27","54","17","50","66","72","17","45"
"28",27,"Old Dominion U. (Engineering Management)","67","72","59","69","60","71","54","68","68","72"
"29",28,"Oregon State U. (Industrial Engineering)","41","58","34","59","41","62","57","68","15","52"
"30",29,"Pennsylvania State U. (Industrial Engineering (Industrial and Manufacturing Engineering))","6","21","10","29","16","32","18","41","6","19"
"31",30,"Pennsylvania State U. (Operations Research)","14","30","14","32","19","41","15","44","10","33"
"32",31,"Princeton U. (Operations Research and Financial Engineering)","19","39","16","43","8","27","19","43","19","46"
"33",32,"Purdue U. Main Campus (Industrial Engineering)","6","23","10","31","22","48","9","26","3","14"
"34",33,"Rensselaer Polytechnic Institute (Decision Sciences and Engineering)","23","39","25","49","18","41","14","36","31","56"
"35",34,"Rutgers U. at New Brunswick (Industrial and Systems Engineering)","20","42","12","37","6","24","12","35","34","61"
"36",35,"Rutgers U. at New Brunswick (Operations Research)","35","52","27","50","18","41","17","46","29","59"
"37",36,"Stanford U. (Management Science and Engineering)","1","4","1","6","9","26","41","60","1","1"
"38",37,"Texas A&M U. (Industrial Engineering)","24","44","25","54","30","47","4","12","13","38"
"39",38,"Texas Tech U. (Industrial Engineering)","51","63","28","55","63","69","24","46","31","59"
"40",39,"U. at Buffalo (SUNY) (Industrial Engineering)","14","33","19","47","3","10","13","35","21","52"
"41",40,"U. of Alabama at Huntsville (Industrial and Systems Engineering)","67","72","58","69","71","72","49","67","44","64"
"42",41,"U. of Arizona (Systems &amp; Industrial Engineering)","9","29","23","50","5","21","48","64","11","34"
"43",42,"U. of Arkansas Main Campus (Industrial Engineering)","18","45","27","59","1","3","33","59","17","53"
"44",43,"U. of California at Berkeley (Industrial Engineering and Operations Research)","5","22","3","19","40","56","5","14","3","9"
"45",44,"U. of Central Florida (Industrial Engineering)","60","67","58","68","51","61","8","22","48","68"
"46",45,"U. of Central Florida (Modeling and Simulation)","48","64","34","58","2","55","62","71","54","71"
