"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Adelphi U. (Clinical Psychology)","208","224","201","223","209","228","65","137","94","192"
"2",1,"American U. (Psychology)","206","224","197","224","184","219","71","138","173","228"
"3",2,"Arizona State U. (Psychology)","28","68","22","66","110","184","32","75","23","69"
"4",3,"Auburn U. (Clinical Psychology)","117","160","156","206","47","160","113","185","82","171"
"5",4,"Auburn U. (Human Development &amp; Family Studies)","54","107","44","91","16","144","27","74","53","127"
"6",5,"Auburn U. (Industrial &amp; Organizational Psychology)","185","220","199","230","41","156","215","232","199","234"
"7",6,"Auburn U. (Experimental Psychology)","142","203","151","210","28","181","87","165","138","223"
"8",7,"Baylor U. (Psychology)","81","141","124","183","2","79","63","145","95","191"
"9",8,"Binghamton U. (SUNY) (Cognitive Psychology)","56","121","57","110","13","147","220","233","79","153"
"10",9,"Binghamton U. (SUNY) (Behavioral Neuroscience)","22","73","14","66","24","144","40","87","36","107"
"11",10,"Binghamton U. (SUNY) (Clinical Psychology)","97","150","119","181","10","81","122","197","109","186"
"12",11,"Boston College (Psychology)","59","113","41","86","36","150","125","206","41","106"
"13",12,"Boston U. (Psychology)","43","79","40","81","123","191","60","134","36","76"
"14",13,"Bowling Green State U. (Psychology)","118","166","138","198","16","77","134","198","87","150"
"15",14,"Brandeis U. (Psychology)","50","106","68","138","5","79","81","164","56","127"
"16",15,"Brigham Young U. (Clinical Psychology)","211","227","155","190","219","235","227","233","175","225"
"17",16,"Brigham Young U. (Psychology)","215","230","148","192","175","221","234","236","158","236"
"18",17,"Brown U. (Cognitive and Linguistic Sciences: Cognitive Sciences)","5","29","5","27","27","155","173","211","4","22"
"19",18,"Brown U. (Psychology)","39","91","35","92","130","191","72","134","22","98"
"20",19,"Bryn Mawr College (Clinical Developmental Psychology)","171","212","139","202","144","198","49","117","130","195"
"21",20,"Carnegie Mellon U. (Tepper School of Business-Organizational Behavior &amp; Theory)","109","161","92","156","20","110","171","217","56","185"
"22",21,"Carnegie Mellon U. (Psychology)","7","30","11","40","22","118","159","206","10","61"
"23",22,"Case Western Reserve U. (Psychology)","70","132","45","88","124","198","16","44","58","120"
"24",23,"Catholic U. of America (Psychology)","167","208","151","207","154","189","51","114","102","197"
"25",24,"City U. of New York Graduate Center (Biopsychology)","73","130","66","121","55","153","24","63","65","142"
"26",25,"City U. of New York Graduate Center (Clinical Psychology)","214","228","202","221","220","235","9","27","133","218"
"27",26,"City U. of New York Graduate Center (Cognition, Brain, and Behavior)","149","197","99","150","181","210","30","82","139","209"
"28",27,"City U. of New York Graduate Center (Cognitive Neuroscience)","77","148","40","92","175","219","98","165","55","169"
"29",28,"City U. of New York Graduate Center (Developmental Psychology)","223","231","181","216","225","235","20","54","163","227"
"30",29,"City U. of New York Graduate Center (Environmental Psychology)","140","204","77","149","204","220","24","61","102","187"
"31",30,"City U. of New York Graduate Center (Industrial and Organizational Psychology)","210","226","152","195","220","235","89","173","170","216"
"32",31,"City U. of New York Graduate Center (Learning Processes and Behavior Analysis)","231","235","223","231","221","235","89","157","225","236"
"33",32,"City U. of New York Graduate Center (Neuropsychology)","81","145","43","83","201","228","101","180","60","130"
"34",33,"City U. of New York Graduate Center (Social Personality Psychology)","167","214","96","163","218","233","3","11","159","229"
"35",34,"Claremont Graduate U. (Psychology)","161","209","112","176","222","234","17","43","99","203"
"36",35,"Clark U. (Psychology)","111","161","122","179","68","172","9","26","74","150"
"37",36,"Clemson U. (I/O Psychology)","122","183","132","198","38","177","122","200","127","195"
"38",37,"Colorado State U. (Psychology)","157","198","192","223","108","181","63","136","118","173"
"39",38,"Columbia U. (Psychology)","6","26","10","36","42","144","131","193","4","18"
"40",39,"Cornell U. (Psychology)","68","105","79","107","23","104","146","199","61","133"
"41",40,"Dartmouth College (Psychological Brain Sciences)","11","46","26","77","1","33","216","228","22","71"
"42",41,"Drexel U. (Clinical Psychology)","73","117","102","164","18","74","63","145","55","120"
"43",42,"Drexel U. (JD/Ph.D. in Clinical Psychology)","147","198","105","160","173","209","32","98","124","224"
"44",43,"Duke U. (Psychology)","14","45","13","40","28","119","44","106","16","51"
"45",44,"Duquesne U. (Psychology)","231","235","231","236","198","225","196","218","217","235"
"46",45,"Emory U. (Psychology)","51","90","47","90","33","124","82","159","41","79"
"47",46,"Florida Atlantic U. (Psychology)","143","198","117","174","38","158","170","211","117","204"
"48",47,"Florida Institute of Technology (Industrial/ Organizational Psychology)","191","232","231","236","1","198","220","233","200","234"
"49",48,"Florida International U. (Psychology)","142","185","112","156","67","156","37","96","130","228"
"50",49,"Florida State U. (Psychology)","10","47","8","40","64","154","78","148","19","77"
"51",50,"Fordham U. (Applied Developmental Psychology)","108","172","112","193","36","151","6","19","128","202"
"52",51,"Fordham U. (Clinical Psychology)","163","208","154","211","168","209","29","85","143","227"
"53",52,"Fordham U. (Psychometrics)","166","215","143","215","192","217","116","184","157","222"
"54",53,"George Washington U. (Psychology)","115","166","112","175","109","186","19","49","94","153"
"55",54,"Georgia Institute of Technology (Psychology)","60","101","44","81","48","141","190","216","70","126"
"56",55,"Georgia State U. (Psychology)","71","120","69","113","123","196","12","35","71","141"
"57",56,"Harvard U. (Psychology)","1","3","1","4","16","100","190","217","1","4"
"58",57,"Howard U. (Psychology)","163","213","166","225","214","226","1","1","131","235"
"59",58,"Illinois Institute of Technology (Psychology)","213","230","151","207","231","236","104","183","152","220"
