"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Boston U. (School of Public Health)","27","70","23","73","19","71","55","76","28","71"
"2",1,"Brown U. (BIOMED: Biostatistics)","29","72","37","78","7","61","34","65","17","83"
"3",2,"Brown U. (BIOMED: Epidemiology)","27","70","22","75","10","55","41","67","21","72"
"4",3,"Case Western Reserve U. (Epidemiology and Biostatistics)","13","51","13","63","59","80","26","45","23","71"
"5",4,"Columbia U. (Biostatistics)","28","69","40","82","13","48","49","78","24","76"
"6",5,"Columbia U. (Environmental Health Sciences)","14","61","8","61","23","71","39","63","11","49"
"7",6,"Columbia U. (Epidemiology)","15","59","8","60","35","76","18","39","17","60"
"8",7,"Columbia U. (Sociomedical Sciences)","41","81","21","79","72","86","25","44","47","81"
"9",8,"Dartmouth College (Evaluative Clinical Sciences)","44","83","25","80","37","83","86","91","43","84"
"10",9,"Emory U. (Biostatistics)","47","81","50","84","40","71","14","33","35","76"
"11",10,"Emory U. (Epidemiology)","36","80","17","72","33","79","58","79","24","64"
"12",11,"Harvard U. (Biological Science and Public Health)","1","14","2","29","3","25","47","69","4","34"
"13",12,"Harvard U. (Biostatistics)","7","34","9","51","10","55","57","78","4","33"
"14",13,"Harvard U. (Health Policy)","1","11","3","37","3","22","16","36","2","34"
"15",14,"Harvard U. (SPH Exposure Epidemiology and Risk)","9","48","8","60","25","66","43","70","8","40"
"16",15,"Harvard U. (SPH Epidemiology)","1","10","1","12","33","57","50","75","1","4"
"17",16,"Harvard U. (SPH Health Policy and Management)","13","50","11","62","58","83","13","32","7","52"
"18",17,"Harvard U. (SPH Nutrition)","1","12","1","8","21","54","22","41","1","19"
"19",18,"Harvard U. (SPH Occupational Health)","1","11","1","12","18","39","86","91","1","11"
"20",19,"Harvard U. (SPH Population and International Health)","25","69","18","71","63","84","13","31","33","73"
"21",20,"Harvard U. (SPH Society Human Development and Health)","4","29","3","33","42","74","9","18","4","36"
"22",21,"Johns Hopkins U. (Biostatistics)","9","45","4","36","15","54","62","79","6","45"
"23",22,"Johns Hopkins U. (Epidemiology and Clinical Investigation)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"24",23,"Johns Hopkins U. (International Health)","57","83","41","80","59","82","36","57","19","63"
"25",24,"Johns Hopkins U. (Mental Health)","64","88","51","88","48","85","23","42","49","86"
"26",25,"Ohio State U. Main Campus (Public Health)","58","85","32","81","24","63","46","71","43","77"
"27",26,"Old Dominion U. (Health Services Research)","89","91","81","90","91","91","2","9","86","91"
"28",27,"Oregon State U. (Public Health)","81","89","79","90","86","90","26","48","82","90"
"29",28,"San Diego State U. and U. of California at San Diego (Public Health)","51","85","19","72","51","82","35","61","23","76"
"30",29,"State U. of New York at Albany (Biometry and Statistics)","90","91","83","91","88","90","88","91","86","91"
"31",30,"State U. of New York at Albany (Environmental Health Sciences)","77","89","60","86","56","82","62","80","53","82"
