"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"1",0,"Baylor U. (Sociology)","25","51","17","43","3","15","105","116","86","112"
"2",1,"Binghamton U. (SUNY) (Sociology)","107","117","114","118","78","104","12","31","40","90"
"3",2,"Boston College (Sociology)","81","100","81","104","76","99","26","55","43","77"
"4",3,"Boston U. (Sociology)","87","108","69","101","104","115","2","7","73","101"
"5",4,"Bowling Green State U. (Sociology)","15","30","16","34","2","20","23","53","74","110"
"6",5,"Brandeis U. (Sociology)","69","95","61","94","82","106","62","96","25","64"
"7",6,"Brigham Young U. (Sociology)","112","117","64","93","87","106","117","118","116","118"
"8",7,"Brown U. (Sociology)","16","31","26","50","8","40","19","42","25","58"
"9",8,"Case Western Reserve U. (Sociology)","35","81","19","55","91","108","97","115","65","115"
"10",9,"City U. of New York Graduate Center (Sociology)","89","110","78","104","101","113","36","67","61","93"
"11",10,"Columbia U. (Sociology)","8","20","3","11","96","114","85","109","1","15"
"12",11,"Cornell U. (Sociology)","16","32","12","26","6","46","80","102","26","62"
"13",12,"Duke U. (Sociology)","4","16","4","15","11","52","36","67","12","27"
"14",13,"Emory U. (Sociology)","38","69","58","87","8","42","34","69","39","70"
"15",14,"Florida International U. (Comparative Sociology)","95","112","113","118","50","93","2","8","54","100"
"16",15,"Florida State U. (Sociology)","26","63","13","37","41","81","71","100","31","64"
"17",16,"Fordham U. (Sociology)","81","101","98","112","35","78","4","12","85","111"
"18",17,"Georgia State U. (Sociology)","92","113","52","91","103","115","14","33","79","104"
"19",18,"Harvard U. (Organizational Behavior)","27","42","67","88","1","16","36","71","6","31"
"20",19,"Harvard U. (Social Policy)","1","2","1","3","1","48","21","55","1","5"
"21",20,"Harvard U. (Sociology)","3","5","2","9","34","79","17","39","1","5"
"22",21,"Howard U. (Sociology)","91","110","106","115","116","118","1","1","102","118"
"23",22,"Indiana U. at Bloomington (Sociology)","20","34","32","50","10","46","40","73","13","32"
"24",23,"Iowa State U. (Human Development &amp; Family Studies)","43","73","51","79","10","42","51","88","34","77"
"25",24,"Iowa State U. (Sociology)","54","83","56","82","18","69","45","77","56","87"
"26",25,"Johns Hopkins U. (Health, Behavior and Society)","18","48","13","29","30","110","5","15","64","109"
"27",26,"Johns Hopkins U. (Population and Family Health Sciences)","5","18","5","20","34","82","13","33","2","14"
"28",27,"Johns Hopkins U. (Sociology)","18","34","16","31","46","90","27","57","15","36"
"29",28,"Kansas State U. (Sociology)","92","112","88","110","21","62","90","109","97","114"
"30",29,"Kent State U. Main Campus (Sociology)","42","74","61","89","30","81","40","75","66","105"
"31",30,"Louisiana State U. at Baton Rouge (Sociology)","55","86","32","61","54","93","95","113","90","111"
"32",31,"Loyola U. Chicago (Sociology)","104","116","94","113","82","101","69","99","96","112"
"33",32,"Michigan State U. (Criminal Justice)","31","58","41","66","10","46","43","73","54","101"
"34",33,"Michigan State U. (Sociology)","39","70","48","71","68","96","8","20","32","73"
"35",34,"Mississippi State U. (Sociology)","41","79","23","50","27","80","102","115","73","112"
"36",35,"New York U. (Sociology)","34","65","33","59","47","89","71","98","14","33"
"37",36,"North Carolina State U. (Parks, Recreation and Tourism Management)","87","111","97","114","6","61","115","118","70","110"
"38",37,"North Carolina State U. (Sociology)","52","79","47","70","36","76","66","97","30","69"
"39",38,"Northeastern U. (Sociology)","42","74","44","66","29","86","28","66","36","83"
"40",39,"Northwestern U. (Sociology)","26","43","31","54","36","76","6","17","17","33"
"41",40,"Ohio State U. Main Campus (Sociology)","11","25","7","18","35","73","63","94","20","41"
